Date,Visitor,Visitor Score,Home Team,Home Score,Line,Total Line
08/03/2014,New York Giants,17,Buffalo Bills,13,3,36.5
08/07/2014,Indianapolis Colts,10,New York Jets,13,4,37.5
08/07/2014,New England Patriots,6,Washington Redskins,23,3,38.5
08/07/2014,San Francisco 49ers,3,Baltimore Ravens,23,3,37
08/07/2014,Cincinnati Bengals,39,Kansas City Chiefs,41,2,37
08/07/2014,Seattle Seahawks,16,Denver Broncos,21,1,37.5
08/07/2014,Dallas Cowboys,7,San Diego Chargers,27,4,37
08/08/2014,Miami Dolphins,10,Atlanta Falcons,16,3,37
08/08/2014,Buffalo Bills,20,Carolina Panthers,18,1,37.5
08/08/2014,Tampa Bay Buccaneers,10,Jacksonville Jaguars,16,3,35
08/08/2014,New Orleans Saints,26,St Louis Rams,24,1.5,38
08/08/2014,Philadelphia Eagles,28,Chicago Bears,34,2,41.5
08/08/2014,Oakland Raiders,6,Minnesota Vikings,10,3.5,38
08/09/2014,Cleveland Browns,12,Detroit Lions,13,0,39.5
08/09/2014,Pittsburgh Steelers,16,New York Giants,20,3,38
08/09/2014,Green Bay Packers,16,Tennessee Titans,20,2,38
08/09/2014,Houston Texans,0,Arizona Cardinals,32,2,37.5
08/14/2014,Jacksonville Jaguars,19,Chicago Bears,20,3,42
08/15/2014,Philadelphia Eagles,35,New England Patriots,42,2,46.5
08/15/2014,Tennessee Titans,24,New Orleans Saints,31,3,43
08/15/2014,Detroit Lions,26,Oakland Raiders,27,3,40.5
08/15/2014,San Diego Chargers,14,Seattle Seahawks,41,6.5,39
08/16/2014,Green Bay Packers,21,St Louis Rams,7,2.5,43.5
08/16/2014,New York Giants,27,Indianapolis Colts,26,0,42
08/16/2014,Baltimore Ravens,37,Dallas Cowboys,30,-2.5,42.5
08/16/2014,New York Jets,25,Cincinnati Bengals,17,3,40.5
08/16/2014,Buffalo Bills,16,Pittsburgh Steelers,19,0,41
08/16/2014,Miami Dolphins,20,Tampa Bay Buccaneers,14,3,38.5
08/16/2014,Atlanta Falcons,7,Houston Texans,32,3,41
08/16/2014,Arizona Cardinals,28,Minnesota Vikings,30,5,40.5
08/17/2014,Denver Broncos,34,San Francisco 49ers,0,3,41
08/17/2014,Kansas City Chiefs,16,Carolina Panthers,28,3,41
08/18/2014,Cleveland Browns,23,Washington Redskins,24,2,42
08/21/2014,Pittsburgh Steelers,21,Philadelphia Eagles,31,4,48
08/22/2014,Jacksonville Jaguars,12,Detroit Lions,13,3,44
08/22/2014,Carolina Panthers,7,New England Patriots,30,6,46
08/22/2014,New York Giants,35,New York Jets,24,3,43.5
08/22/2014,Oakland Raiders,21,Green Bay Packers,31,6.5,43.5
08/22/2014,Chicago Bears,6,Seattle Seahawks,34,7,46
08/23/2014,Tampa Bay Buccaneers,27,Buffalo Bills,14,3,42.5
08/23/2014,Dallas Cowboys,20,Miami Dolphins,25,4,46.5
08/23/2014,Tennessee Titans,24,Atlanta Falcons,17,4,44
08/23/2014,Washington Redskins,17,Baltimore Ravens,23,2.5,45.5
08/23/2014,New Orleans Saints,23,Indianapolis Colts,17,2,47.5
08/23/2014,Minnesota Vikings,30,Kansas City Chiefs,12,3,45
08/23/2014,St Louis Rams,33,Cleveland Browns,14,2,43.5
08/23/2014,Houston Texans,18,Denver Broncos,17,7,46
08/24/2014,San Diego Chargers,7,San Francisco 49ers,21,5,41.5
08/24/2014,Cincinnati Bengals,19,Arizona Cardinals,13,2.5,42.5
08/28/2014,Atlanta Falcons,24,Jacksonville Jaguars,14,4,38.5
08/28/2014,Detroit Lions,23,Buffalo Bills,0,3,41
08/28/2014,Indianapolis Colts,7,Cincinnati Bengals,35,2,40.5
08/28/2014,St Louis Rams,13,Miami Dolphins,14,-2,39
08/28/2014,New York Jets,7,Philadelphia Eagles,37,3,42.5
08/28/2014,Kansas City Chiefs,14,Green Bay Packers,34,3,42.5
08/28/2014,New England Patriots,13,New York Giants,16,3,41.5
08/28/2014,Washington Redskins,24,Tampa Bay Buccaneers,10,3,39
08/28/2014,Carolina Panthers,10,Pittsburgh Steelers,0,4,37.5
08/28/2014,Minnesota Vikings,19,Tennessee Titans,3,0,41
08/28/2014,San Francisco 49ers,40,Houston Texans,13,3,38.5
08/28/2014,Chicago Bears,13,Cleveland Browns,33,4,41.5
08/28/2014,Baltimore Ravens,22,New Orleans Saints,13,3,42.5
08/28/2014,Denver Broncos,27,Dallas Cowboys,3,-2.5,42.5
08/28/2014,Seattle Seahawks,21,Oakland Raiders,41,-4.5,38.5
08/28/2014,Arizona Cardinals,9,San Diego Chargers,12,3,37.5
