YEAR,TEAM,ORNK,OYDS,OYPG,RUSHYDS,RUSHYPG,PASSYDS,PASSYPG,OPTS,OPTS/G,ODOWNRNK,TOT1D,RUSH1D,PASS1D,PEN1D,O3DMADE,O3DATT,3DPCT,O4DMADE,04DATT,O4DPCT,OPENS,OPENYDS,OPASSRNK,COM,OPATT,OPCT,OPASSYDS,OPYPG,OYPA,OLNGPASS,OPASSTD,OINT,SKALLWD,SYDALLWD,OPASSRAT,ORUNRNK,ORUNATT,ORUNYDS,ORUNAVG,ORUNYPG,ORUNLNG,ORUNTD,OFUM,OFUMLST,ORECRNK,OREC,ORECYDS,ORECAVG,ORECYPG,ORECLNG,ORECTD,ORECFUM,ORECLST,ORETRNK,OKRETATT,OKRETYDS,OKRETAVG,OKRETTD,OKRETLNG,PRETATT,PRETYDS,PRETAVG,PRETTD,PRETLNG,PRETFC,OKRNK,XPM,XPA,XP%,FGM,FGA,FG%,KLNG,KPTS,PNTRNK,PUNTS,PNTYDS,PNTAVG,PNTLNG,IN20,IN20%,TB,TB%,BP,PRETALLWD,PRETYDSALLWD,PRETAVGALLWD,PUNTNET,SACKRNK,TOTTKL,SOLOTKL,ASTTKL,SACK,FF,BK,INT,YDS,LNG,TD,PD,TORNK,INT,FUMTAKEN,TAKEAWAY,INTTHRWN,FUMLOST,GIVEAWAY,NETTO,DEFRNK,DYDS,DYPG,DRUSH,DRUSHYPG,DPASS,DPASSYPG,DPTS,DPTSPG,DDWNRANK,D1DTOT,D1DRUSH,D1DPASS,D1DPEN,D3DMADE,D3DATT,D3DPCT,D4DMADE,D4DATT,D4DPCT,DPENTOT,DPENYDS,DPASSRNK,DCOM,DPASSATT,DPASSPCT,DPASSYDS,DPASSYPG,DYPA,DPASSLNG,DPASSTD,DINT,SK,SYD,DRAT,DRUNRNK,DRUNATT,DRUNYDS,DRUNAVG,DRUNYPG,DRUNLNG,DRUNTD,DRUNFUM,DRUNLST,DRECRNK,DREC,DRECYDS,DRECAVG,DRECYPG,DRECLNG,DRECTD,DRECFUM,DRECLST,DRETRNK,DKATT,DKYDS,DKAVG,DKTD,DKLNG,DPATT,DPYDS,DPAVG,DPTD,DPLNG,DPFC,DKRNK,DXPM,DXPA,DXP%,DFGM,DFGA,DFG%,DKLNG,DKPTS,DPNTRNK,DPUNTS,DPNTYDS,DPNTAVG,DPNTLNG,DIN20,DIN20%,DTB,DTB%,DBP,DPNTRET,DPRETYDS,DPRETAVG,DPUNTNET,DTKLRNK,TOTTKLOPP,SOLOTKLOPP,ASTTCKLOPP,SACKALLWD,FFOPP,BKOPP,INTTHRWN,INTTHRWNYDS,INTTHRWNLNG,INTTHRWNTD,OPPPD,TRUOPATT,TRUOPASS,WINS,LASTWINS,NEXTWINS,NEXTDELTA,TRUDPATT,TRUDPASS,OINTRATE,DINTRATE,OFUMRATE,DFUMRATE,OFUMLOSTRATE,DFUMLOSTRATE,OFUMLOSTRATIO,DFUMLOSTRATIO,DFFRATE,OUNFFUM,OUNFFUMRATE,LASTDFFRATE,LASTOUNFFUMRATE,LASTTRUOPASS,LASTTRUDPASS,LASTOFUMRATE,LASTDFUMRATE,LASTOINTRATE,LASTDINTRATE
2002,ARI,27,4563,285.2,1823,113.9,2740,171.3,262,16.4,26,274,94,148,32,99,230,43,4,13,30.8,76,617,29,291,548,53.1,2740,171.3,5.54,80,18,22,41,298,63.7,15,414,1823,4.4,113.9,58,10,20,12,28,291,3038,10.4,189.9,80,18,20,12,13,81,1797,22.2,1,95,36,221,6.1,0,22,4,29,29,29,100,15,21,71.4,50,74,3,88,3864,43.9,58,28,31.8,10,11.4,1,42,547,13,37.7,32,1115,872,243,21,7,0,17,186,38,2,67,27,17,8,25,22,13,35,-10,29,6020,376.3,2146,134.1,3874,242.1,417,26.1,29,335,117,196,22,90,212,42.5,7,15,46.7,111,969,28,335,535,62.6,3874,242.1,7.49,78,29,17,21,131,90.3,30,490,2146,4.4,134.1,59,17,12,6,27,335,4005,12,250.3,78,29,12,6,31,58,1407,24.3,0,55,42,547,13,3,90,18,23,49,49,100,22,29,75.9,54,115,24,65,2730,42,65,25,38.5,6,9.2,0,36,221,6.1,38.6,21,1060,824,236,41,16,1,22,303,50,1,116,589,4.65,5,7,4,-1,556,6.97,0.040,0.032,0.027,0.014,0.038,0.046,0.60,0.50,0.008,4,0.005,,,,,,,,
2002,ATL,14,5534,345.9,2368,148,3167,197.9,402,25.1,13,316,123,163,30,90,215,41.9,6,10,60,105,931,23,268,479,56,3167,197.9,7.07,74,18,12,36,217,80.2,4,523,2368,4.5,148,59,23,20,13,22,268,3384,12.6,211.5,74,18,20,13,12,63,1404,22.3,1,91,32,325,10.2,0,36,13,1,42,43,97.7,32,40,80,52,138,11,67,2804,41.9,59,21,31.3,5,7.5,0,23,109,4.7,40.2,4,977,821,156,47,18,3,24,285,41,1,79,5,24,15,39,12,15,27,12,19,5334,333.4,2047,127.9,3287,205.4,314,19.6,10,288,97,171,20,85,214,39.7,9,21,42.9,112,920,16,285,514,55.4,3287,205.4,6.98,76,23,24,47,298,72.8,23,441,2047,4.6,127.9,64,12,20,12,16,285,3585,12.6,224.1,76,23,20,12,19,73,1607,22,0,88,23,109,4.7,0,22,24,6,32,33,97,18,24,75,43,86,23,72,3021,42,65,26,36.1,5,6.9,0,32,325,10.2,37.4,15,1032,872,160,36,20,2,12,182,40,1,59,515,6.15,9,7,5,-4,561,5.86,0.025,0.047,0.024,0.026,0.027,0.028,0.65,0.60,0.023,0,0.000,,,,,,,,
2002,BAL,26,4639,289.9,1792,112,2847,177.9,316,19.8,27,261,90,145,26,81,215,37.7,7,13,53.8,101,846,27,262,479,54.7,2847,177.9,6.51,77,20,14,41,271,76.5,16,427,1792,4.2,112,75,9,23,13,26,262,3118,11.9,194.9,77,20,23,13,19,68,1433,21.1,0,67,34,384,11.3,1,95,14,22,33,33,100,21,26,80.8,51,96,15,82,3401,41.5,61,32,39,5,6.1,2,40,471,11.8,35.7,22,1128,928,200,33,11,3,25,449,98,2,105,17,25,6,31,14,18,32,-1,22,5353,334.6,1762,110.1,3591,224.4,354,22.1,23,316,95,190,31,95,236,40.3,15,21,71.4,104,874,26,360,573,62.8,3591,224.4,6.67,54,16,25,33,232,73.4,13,471,1762,3.7,110.1,35,17,15,4,26,360,3823,10.6,238.9,54,16,15,4,25,67,1512,22.6,1,94,40,471,11.8,2,76,14,28,31,32,96.9,29,33,87.9,50,118,28,75,3184,42.5,69,27,36,7,9.3,3,34,384,11.3,37.3,21,973,780,193,41,21,3,14,241,97,1,91,520,5.48,7,10,10,3,606,5.93,0.029,0.044,0.032,0.017,0.036,0.044,0.57,0.27,0.013,2,0.003,,,,,,,,
2002,BUF,11,5591,349.4,1596,99.8,3995,249.7,379,23.7,3,355,90,218,47,90,212,42.5,7,12,58.3,112,1031,5,377,612,61.6,3995,249.7,7.13,73,24,15,54,369,86,24,388,1596,4.1,99.8,34,17,26,14,3,377,4364,11.6,272.8,73,24,26,14,29,70,1405,20.1,1,90,30,157,5.2,0,16,11,12,40,40,100,25,33,75.8,54,115,4,66,2844,43.1,84,18,27.3,7,10.6,1,29,294,10.1,38.6,25,1064,815,249,31,10,0,10,147,42,1,64,28,10,9,19,15,16,31,-12,15,5189,324.3,2122,132.6,3067,191.7,397,24.8,17,303,107,160,36,76,207,36.7,10,23,43.5,117,1053,6,281,495,56.8,3067,191.7,6.62,81,24,10,31,212,84.7,29,473,2122,4.5,132.6,55,20,19,9,4,281,3279,11.7,204.9,81,24,19,9,13,76,1634,21.5,2,98,29,294,10.1,0,61,13,11,44,46,95.7,19,26,73.1,53,101,6,71,2834,39.9,70,15,21.1,9,12.7,0,30,157,5.2,37.7,30,1115,857,258,54,22,2,15,274,81,1,84,666,6.00,8,3,6,-2,526,5.83,0.025,0.020,0.032,0.024,0.004,0.007,0.54,0.47,0.013,4,0.005,,,,,,,,
2002,CAR,31,4280,267.5,1586,99.1,2694,168.4,258,16.1,30,238,82,133,23,64,224,28.6,4,12,33.3,94,785,30,255,464,55,2694,168.4,6.43,69,15,22,44,287,65.7,25,452,1586,3.5,99.1,59,11,21,14,31,255,2981,11.7,186.3,69,15,21,14,28,60,1208,20.1,0,51,57,487,8.5,2,87,16,28,29,29,100,15,25,60,50,74,1,104,4735,45.5,67,31,29.8,12,11.5,1,63,554,8.8,40.2,2,1037,882,155,52,23,2,17,261,62,1,107,23,17,16,33,22,18,40,-7,2,4646,290.4,1653,103.3,2993,187.1,302,18.9,3,271,95,155,21,77,234,32.9,5,13,38.5,98,782,4,293,522,56.1,2993,187.1,6.38,80,18,17,52,336,73.4,8,448,1653,3.7,103.3,44,12,24,12,6,293,3329,11.4,208.1,80,18,24,12,1,50,926,18.5,0,31,63,554,8.8,0,61,7,13,32,33,97,24,29,82.8,53,104,17,103,4251,41.3,66,29,28.2,12,11.7,0,57,487,8.5,36.5,25,999,831,168,44,18,3,22,197,41,1,79,508,5.30,7,1,11,4,574,5.21,0.047,0.033,0.028,0.030,0.041,0.010,0.67,0.50,0.029,3,0.004,,,,,,,,
2002,CHI,29,4395,274.7,1344,84,3051,190.7,281,17.6,28,260,79,156,25,71,210,33.8,10,21,47.6,95,864,24,310,543,57.1,3051,190.7,6.11,76,22,18,44,265,74.8,32,382,1344,3.5,84,34,8,21,13,24,310,3316,10.7,207.3,76,22,21,13,18,83,1762,21.2,0,63,38,359,9.4,0,30,12,23,29,29,100,22,28,78.6,53,95,7,87,3679,42.3,75,26,29.9,2,2.3,0,46,386,8.4,37.9,18,1129,945,184,35,22,3,9,111,35,0,66,24,9,19,28,18,17,35,-7,25,5606,350.4,2076,129.8,3530,220.6,379,23.7,28,328,110,185,33,85,230,37,9,15,60,115,935,24,335,547,61.2,3530,220.6,6.91,85,24,9,35,252,89.7,26,504,2076,4.1,129.8,63,13,27,18,24,335,3782,11.3,236.4,85,24,27,18,21,61,1361,22.3,0,67,46,386,8.4,0,57,19,32,34,34,100,37,44,84.1,57,145,27,77,3260,42.3,67,24,31.2,12,15.6,1,38,359,9.4,37.7,25,978,827,151,44,16,1,18,258,72,1,98,587,5.20,4,13,7,3,582,6.07,0.033,0.016,0.029,0.031,0.033,0.039,0.62,0.67,0.025,5,0.007,,,,,,,,
2002,CIN,18,5206,325.4,1730,108.1,3476,217.3,279,17.4,14,315,105,186,24,87,223,39,11,30,36.7,99,884,13,350,591,59.2,3476,217.3,6.32,72,17,22,37,256,71.8,21,426,1730,4.1,108.1,67,13,20,9,13,350,3732,10.7,233.3,72,17,20,9,10,85,1905,22.4,1,94,28,131,4.7,0,34,9,28,30,32,93.8,15,18,83.3,54,75,30,72,2787,38.7,57,12,16.7,4,5.6,1,41,611,14.9,30.2,30,998,845,153,25,12,1,9,187,102,2,53,30,9,11,20,22,13,35,-15,17,5265,329.1,2006,125.4,3259,203.7,456,28.5,20,315,104,182,29,83,199,41.7,7,14,50,101,867,13,287,454,63.2,3259,203.7,7.52,69,30,9,25,156,99.9,22,497,2006,4,125.4,41,16,16,9,10,287,3415,11.9,213.4,69,30,16,9,8,56,1191,21.3,1,99,41,611,14.9,3,95,8,29,51,52,98.1,23,31,74.2,52,120,20,65,2714,41.8,64,24,36.9,6,9.2,0,28,131,4.7,39.7,18,1029,872,157,37,17,2,22,428,98,3,105,628,5.54,2,6,8,6,479,6.80,0.037,0.020,0.025,0.020,0.016,0.017,0.45,0.56,0.015,3,0.004,,,,,,,,
2002,CLE,23,5027,314.2,1615,100.9,3412,213.3,344,21.5,24,279,77,171,31,90,222,40.5,8,10,80,107,845,18,338,552,61.2,3412,213.3,6.64,78,27,22,35,253,80.5,23,406,1615,4,100.9,64,10,13,7,15,338,3665,10.8,229.1,78,27,13,7,27,66,1336,20.2,1,95,33,434,13.2,2,87,14,20,34,35,97.1,22,28,78.6,52,100,18,83,3424,41.3,59,29,34.9,6,7.2,0,42,408,9.7,36.3,27,1066,871,195,28,20,5,17,148,71,0,76,18,17,12,29,22,9,31,-2,21,5347,334.2,2078,129.9,3269,204.3,320,20,11,291,107,164,20,91,226,40.3,7,14,50,91,726,15,299,513,58.3,3269,204.3,6.71,72,20,17,28,172,77.8,27,483,2078,4.3,129.9,75,12,21,8,12,299,3441,11.5,215.1,72,20,21,8,5,67,1366,20.4,0,82,42,408,9.7,1,63,12,25,32,32,100,28,37,75.7,49,116,3,75,2938,39.2,62,22,29.3,7,9.3,1,33,434,13.2,33.4,14,1002,817,185,35,14,1,22,292,59,1,116,587,5.81,9,7,5,-4,541,6.04,0.040,0.033,0.017,0.026,0.019,0.020,0.54,0.38,0.025,-1,-0.001,,,,,,,,
2002,DAL,30,4375,273.4,1754,109.6,2621,163.8,217,13.6,31,237,87,129,21,50,208,24,4,12,33.3,105,974,31,252,471,53.5,2621,163.8,6.41,80,14,16,54,399,69.1,19,423,1754,4.1,109.6,46,7,26,16,29,252,3020,12,188.8,80,14,26,16,11,68,1521,22.4,2,100,39,325,8.3,0,71,19,32,25,25,100,12,19,63.2,48,61,20,112,4568,40.8,60,25,22.3,10,8.9,1,58,637,11,35.1,31,1021,888,133,24,16,2,19,227,85,3,77,20,19,11,30,16,18,34,-4,18,5267,329.2,1818,113.6,3449,215.6,329,20.6,11,291,90,178,23,92,246,37.4,9,11,81.8,119,923,19,334,574,58.2,3449,215.6,6.25,65,22,19,24,137,75.6,15,481,1818,3.8,113.6,60,10,18,10,17,334,3586,10.7,224.1,65,22,18,10,27,48,1095,22.8,0,47,58,637,11,0,52,20,23,34,35,97.1,27,38,71.1,53,115,21,93,3893,41.9,64,40,43,9,9.7,1,39,325,8.3,38.4,30,916,797,119,54,26,1,16,252,80,1,76,525,4.99,5,5,10,5,598,5.77,0.034,0.033,0.036,0.021,0.040,0.030,0.62,0.56,0.019,0,0.000,,,,,,,,
2002,DEN,3,6090,380.6,2266,141.6,3824,239,392,24.5,2,357,125,199,33,77,202,38.1,16,23,69.6,104,877,8,359,554,64.8,3824,239,7.47,82,21,20,46,315,84.8,5,457,2266,5,141.6,59,21,15,7,6,359,4139,11.5,258.7,82,21,15,7,8,62,1456,23.5,0,56,34,275,8.1,0,53,7,9,42,43,97.7,26,36,72.2,55,120,23,53,2145,40.5,63,14,26.4,6,11.3,2,23,223,9.7,36.3,9,1010,846,164,40,14,4,9,107,31,2,64,21,9,13,22,20,7,27,-5,6,4826,301.6,1489,93.1,3337,208.6,344,21.5,16,298,100,176,22,97,220,44.1,3,6,50,99,829,17,360,566,63.6,3337,208.6,6.34,75,15,9,40,251,83.7,4,379,1489,3.9,93.1,76,21,13,10,18,360,3588,10,224.3,75,15,13,10,18,81,1781,22,0,66,23,223,9.7,0,40,10,17,33,34,97.1,25,32,78.1,54,108,25,75,3153,42,70,23,30.7,10,13.3,2,34,275,8.1,38.4,27,1064,905,159,46,11,3,20,310,98,2,77,600,6.37,9,8,10,1,606,5.51,0.036,0.016,0.017,0.017,0.007,0.036,0.47,0.77,0.018,4,0.005,,,,,,,,
