TEAM,YEAR,O NET PASS EFF,WINS,TEAM ID,TOSize,D NET PASS EFF,O RUN EFF,D RUN EFF,O INT RATE,D INT RATE,O FUM RATE,D FUM RATE,NET TO
ARI,2002,4.65,5,1,14,6.97,4.4,4.4,0.040,0.032,0.027,0.014,-10
ATL,2002,6.15,9,2,36,5.86,4.5,4.6,0.025,0.047,0.024,0.026,12
BAL,2002,5.48,7,3,23,5.93,4.2,3.7,0.029,0.044,0.032,0.017,-1
BUF,2002,6.00,8,4,12,5.83,4.1,4.5,0.025,0.020,0.032,0.024,-12
CAR,2002,5.30,7,5,17,5.21,3.5,3.7,0.047,0.033,0.028,0.030,-7
CHI,2002,5.20,4,6,17,6.07,3.5,4.1,0.033,0.016,0.029,0.031,-7
CIN,2002,5.54,2,7,9,6.80,4.1,4,0.037,0.020,0.025,0.020,-15
CLE,2002,5.81,9,8,22,6.04,4,4.3,0.040,0.033,0.017,0.026,-2
DAL,2002,4.99,5,9,20,5.77,4.1,3.8,0.034,0.033,0.036,0.021,-4
DEN,2002,6.37,9,10,19,5.51,5,3.9,0.036,0.016,0.017,0.017,-5
DET,2002,5.02,3,11,17,6.65,4.1,4,0.043,0.017,0.015,0.022,-7
GB,2002,5.98,12,12,41,5.20,4.3,4.8,0.028,0.045,0.024,0.038,17
HOU,2002,4.25,4,13,16,5.74,3.2,4.1,0.034,0.020,0.033,0.016,-8
IND,2002,6.60,10,14,19,5.79,3.6,4.3,0.032,0.021,0.021,0.033,-5
JAX,2002,5.48,6,15,36,5.88,4.6,4.3,0.019,0.027,0.009,0.020,12
KC,2002,7.20,8,16,40,6.43,5.1,4.8,0.027,0.029,0.004,0.017,16
MIA,2002,6.02,9,17,24,5.47,4.7,3.8,0.033,0.040,0.028,0.023,0
MIN,2002,6.07,6,18,6,7.21,5.3,4.2,0.041,0.030,0.037,0.017,-18
NE,2002,5.62,9,19,29,5.63,3.8,4.7,0.023,0.034,0.019,0.018,5
NO,2002,5.97,9,20,32,6.02,4.1,4.5,0.028,0.034,0.028,0.027,8
NYG,2002,6.90,10,21,22,5.40,3.9,4.5,0.026,0.020,0.028,0.024,-2
NYJ,2002,6.61,9,22,28,6.01,4,4.6,0.021,0.027,0.016,0.010,4
OAK,2002,6.83,11,23,36,5.75,4.3,3.8,0.016,0.037,0.018,0.019,12
PHI,2002,5.79,12,24,38,5.00,4.5,4.3,0.020,0.027,0.025,0.045,14
PIT,2002,6.55,10,25,24,5.55,4.1,3.8,0.040,0.033,0.017,0.020,0
SD,2002,5.67,8,26,27,6.65,4.6,4.2,0.030,0.028,0.012,0.018,3
SF,2002,5.83,10,27,34,6.00,4.6,4.2,0.018,0.034,0.013,0.025,10
SS,2002,6.58,7,28,26,5.85,4,4.9,0.027,0.034,0.024,0.018,2
STL,2002,6.10,7,29,5,6.43,4.1,4.1,0.043,0.026,0.030,0.036,-19
TB,2002,5.67,12,30,41,4.50,3.8,3.8,0.018,0.061,0.024,0.021,17
TEN,2002,6.37,11,31,28,5.88,3.8,3.8,0.030,0.032,0.014,0.016,4
WAS,2002,5.45,7,32,10,5.31,4.3,4,0.036,0.026,0.032,0.027,-14
ARI,2003,5.12,4,1,11,6.93,3.8,4,0.041,0.026,0.036,0.024,-13
ATL,2003,4.86,5,2,24,6.99,4.5,4.6,0.046,0.030,0.020,0.033,0
BAL,2003,4.96,10,3,27,4.85,4.8,3.4,0.046,0.045,0.040,0.029,3
BUF,2003,4.85,6,4,8,4.96,3.9,3.5,0.034,0.020,0.040,0.024,-16
CAR,2003,6.25,11,5,19,5.34,4,4,0.035,0.031,0.032,0.022,-5
CHI,2003,4.69,7,6,15,5.68,4,4.2,0.039,0.029,0.026,0.014,-9
CIN,2003,6.00,8,7,26,6.32,4.1,4.8,0.029,0.028,0.013,0.027,2
CLE,2003,5.16,5,8,13,5.30,4.1,4.6,0.035,0.030,0.031,0.019,-11
DAL,2003,5.78,10,9,20,5.02,3.9,3.5,0.041,0.026,0.020,0.025,-4
DEN,2003,5.89,10,10,20,5.33,4.8,4.2,0.038,0.018,0.019,0.035,-4
DET,2003,4.88,5,11,24,6.51,3.6,4,0.041,0.029,0.018,0.029,0
GB,2003,6.59,10,12,24,5.46,5,4.1,0.044,0.036,0.020,0.025,0
HOU,2003,5.59,5,13,19,7.12,3.9,4.4,0.041,0.028,0.024,0.018,-5
IND,2003,7.11,12,14,34,5.90,3.7,4.5,0.018,0.034,0.022,0.030,10
JAX,2003,6.05,5,15,20,6.09,4.3,3.2,0.033,0.029,0.028,0.029,-4
KC,2003,7.15,13,16,43,5.60,4.3,5.2,0.022,0.044,0.011,0.017,19
MIA,2003,5.80,10,17,26,5.82,3.7,3.3,0.042,0.042,0.028,0.024,2
MIN,2003,7.03,9,18,35,6.12,4.8,4.9,0.025,0.053,0.032,0.030,11
NE,2003,6.03,14,19,41,4.90,3.4,3.6,0.024,0.047,0.025,0.030,17
NO,2003,6.02,8,20,23,5.79,4.5,4.7,0.015,0.029,0.034,0.024,-1
NYG,2003,5.13,4,21,8,6.03,4,3.9,0.032,0.019,0.035,0.031,-16
NYJ,2003,6.29,6,22,24,6.17,4,4.2,0.028,0.024,0.021,0.019,0
OAK,2003,4.88,4,23,23,6.90,4.3,4.6,0.027,0.030,0.024,0.023,-1
PHI,2003,5.73,12,24,28,5.42,4.8,4.5,0.023,0.023,0.022,0.029,4
PIT,2003,5.76,6,25,21,5.88,3.3,3.9,0.032,0.029,0.019,0.023,-3
SD,2003,5.45,4,26,13,6.09,5.1,4.3,0.036,0.025,0.022,0.021,-11
SF,2003,6.32,7,27,36,5.82,4.6,4,0.029,0.045,0.024,0.017,12
SS,2003,6.41,10,28,23,5.68,4.4,3.9,0.031,0.028,0.018,0.025,-1
STL,2003,6.16,12,29,31,5.57,3.6,4.8,0.038,0.047,0.026,0.032,7
TB,2003,6.19,7,30,26,5.30,3.9,3.9,0.037,0.042,0.025,0.035,2
TEN,2003,7.36,12,31,37,6.17,3.3,3.8,0.018,0.038,0.024,0.024,13
WAS,2003,5.27,5,32,26,6.26,3.9,4.4,0.030,0.035,0.023,0.025,2
ARI,2004,5.04,6,1,25,5.59,3.5,4.7,0.034,0.030,0.031,0.036,1
ATL,2004,5.42,11,2,26,6.24,5.1,3.9,0.041,0.037,0.030,0.027,2
BAL,2004,4.62,9,3,35,5.78,4.2,3.6,0.024,0.042,0.023,0.023,11
BUF,2004,5.65,9,4,34,4.94,3.9,3.6,0.037,0.049,0.024,0.031,10
CAR,2004,6.40,7,5,36,6.36,3.7,4,0.028,0.051,0.022,0.031,12
CHI,2004,4.08,5,6,16,6.07,3.8,4.1,0.034,0.033,0.038,0.021,-8
CIN,2004,5.82,8,7,28,5.93,4.2,4.4,0.041,0.038,0.016,0.028,4
CLE,2004,5.88,4,8,12,5.90,3.8,4.4,0.048,0.033,0.034,0.014,-12
DAL,2004,6.18,6,9,9,6.58,3.9,4.2,0.044,0.026,0.028,0.020,-15
DEN,2004,7.46,10,10,15,5.65,4.4,3.8,0.038,0.025,0.020,0.028,-9
DET,2004,5.38,6,11,28,6.13,4.4,3.8,0.026,0.026,0.014,0.021,4
GB,2004,7.27,10,12,10,6.56,4.3,4.6,0.032,0.015,0.020,0.017,-14
HOU,2004,6.24,7,13,29,6.53,3.9,4.4,0.030,0.042,0.023,0.024,5
IND,2004,8.55,12,14,43,6.47,4.3,4.6,0.019,0.034,0.023,0.037,19
JAX,2004,5.80,9,15,30,6.29,4.1,4.1,0.021,0.032,0.024,0.029,6
KC,2004,7.43,7,16,18,7.47,4.6,4.6,0.030,0.025,0.021,0.024,-6
MIA,2004,4.80,4,17,7,5.51,3.5,4.3,0.044,0.035,0.040,0.023,-17
MIN,2004,7.55,8,18,25,6.68,4.7,4.6,0.022,0.020,0.022,0.026,1
NE,2004,7.02,14,19,33,5.83,4.1,3.9,0.029,0.037,0.020,0.030,9
NO,2004,6.15,8,20,31,6.68,4,4.6,0.030,0.024,0.029,0.031,7
NYG,2004,5.35,6,21,28,5.98,4.5,4.3,0.027,0.030,0.034,0.030,4
NYJ,2004,6.50,10,22,41,6.20,4.5,3.6,0.025,0.038,0.015,0.028,17
OAK,2004,6.30,5,23,7,7.33,4,3.7,0.038,0.018,0.026,0.015,-17
PHI,2004,6.81,13,24,30,5.38,4.4,4.3,0.020,0.031,0.019,0.029,6
PIT,2004,6.90,15,25,35,5.40,4,3.6,0.036,0.039,0.016,0.033,11
SD,2004,7.13,12,26,39,6.37,4.2,3.7,0.018,0.038,0.025,0.020,15
SF,2004,5.12,2,27,5,6.72,3.5,4,0.037,0.018,0.037,0.023,-19
SS,2004,6.25,9,28,32,6.03,4.5,4.5,0.034,0.041,0.021,0.027,8
STL,2004,6.75,8,29,0,6.03,4.3,4.5,0.038,0.012,0.029,0.019,-24
TB,2004,6.25,5,30,15,5.36,3.8,4.1,0.035,0.037,0.032,0.023,-9
TEN,2004,5.71,5,31,23,6.85,4.5,4.6,0.032,0.034,0.029,0.022,-1
WAS,2004,4.77,6,32,23,5.36,3.7,3.1,0.033,0.035,0.023,0.019,-1
ARI,2005,6.21,5,1,13,5.89,3.2,4,0.031,0.031,0.027,0.029,-11
ATL,2005,5.47,8,2,24,5.57,4.8,4.7,0.029,0.030,0.024,0.021,0
BAL,2005,5.11,6,3,14,5.23,3.6,3.7,0.037,0.023,0.029,0.025,-10
BUF,2005,5.01,5,4,28,6.08,3.8,4.5,0.035,0.034,0.028,0.020,4
CAR,2005,6.86,11,5,40,5.34,3.4,3.6,0.036,0.044,0.024,0.024,16
CHI,2005,4.46,11,6,30,4.86,4.3,3.7,0.036,0.044,0.026,0.026,6
CIN,2005,6.83,11,7,48,6.52,4.2,4.3,0.026,0.060,0.019,0.031,24
CLE,2005,5.62,6,8,17,5.80,3.8,4.2,0.036,0.032,0.030,0.019,-7
DAL,2005,6.07,9,9,19,5.80,3.6,4.2,0.034,0.030,0.032,0.024,-5
DEN,2005,6.61,13,10,44,5.68,4.7,4,0.015,0.033,0.017,0.032,20
DET,2005,5.17,5,11,25,6.02,3.6,4.2,0.035,0.039,0.022,0.028,1
GB,2005,5.77,4,12,0,5.76,3.4,4,0.048,0.023,0.032,0.029,-24
HOU,2005,4.33,2,13,16,6.96,4.2,4.6,0.029,0.015,0.027,0.020,-8
IND,2005,7.64,14,14,36,5.68,3.7,4.4,0.021,0.035,0.011,0.030,12
JAX,2005,6.15,12,15,35,5.57,3.9,3.9,0.012,0.039,0.026,0.021,11
KC,2005,7.07,10,16,32,6.26,4.6,4.1,0.020,0.029,0.020,0.035,8
MIA,2005,5.67,9,17,25,5.53,4.3,3.7,0.029,0.026,0.030,0.031,1
MIN,2005,5.58,9,18,29,5.88,3.9,4,0.031,0.045,0.024,0.020,5
NE,2005,6.96,10,19,18,6.61,3.4,3.6,0.027,0.019,0.020,0.012,-6
NO,2005,5.63,3,20,0,6.43,4,4.3,0.043,0.024,0.021,0.020,-24
NYG,2005,6.11,11,21,35,5.77,4.7,3.9,0.030,0.029,0.018,0.030,11
NYJ,2005,5.05,4,22,18,5.59,3.5,3.9,0.032,0.045,0.035,0.021,-6
OAK,2005,5.63,4,23,20,6.21,3.8,4,0.024,0.010,0.028,0.021,-4
PHI,2005,5.55,6,24,17,6.25,3.9,3.7,0.032,0.034,0.034,0.023,-7
PIT,2005,7.12,11,25,31,5.32,4,3.4,0.037,0.027,0.021,0.029,7
SD,2005,6.27,9,26,16,5.87,4.5,3.5,0.030,0.018,0.018,0.025,-8
SF,2005,4.34,4,27,15,7.33,3.9,3.8,0.054,0.028,0.037,0.011,-9
SS,2005,6.90,13,28,34,5.73,4.7,3.6,0.021,0.028,0.016,0.026,10
STL,2005,6.26,6,29,14,6.25,4,4.7,0.040,0.026,0.026,0.025,-10
TB,2005,5.47,11,30,31,5.72,4,3.5,0.029,0.036,0.017,0.025,7
TEN,2005,5.76,4,31,18,6.29,3.8,4.2,0.024,0.019,0.025,0.020,-6
WAS,2005,6.07,10,32,25,5.41,4.2,4.1,0.023,0.030,0.028,0.035,1
ARI,2006,6.31,5,1,29,6.60,3.2,4.1,0.031,0.031,0.031,0.035,5
ATL,2006,5.12,7,2,21,6.64,5.5,3.7,0.036,0.023,0.020,0.028,-3
BAL,2006,6.35,13,3,30,5.29,3.4,3.3,0.027,0.055,0.023,0.027,6
BUF,2006,5.69,7,4,37,5.46,3.7,4.7,0.032,0.025,0.030,0.029,13
CAR,2006,5.72,8,5,17,5.55,3.9,3.9,0.032,0.028,0.021,0.023,-7
CHI,2006,6.09,13,6,23,5.02,3.8,4,0.043,0.041,0.017,0.032,-1
CIN,2006,6.86,8,7,12,6.47,3.7,4.2,0.025,0.034,0.028,0.020,-12
CLE,2006,5.13,4,8,13,6.15,3.6,4.4,0.049,0.036,0.027,0.016,-11
DAL,2006,7.06,9,9,31,6.43,4.1,3.9,0.042,0.035,0.017,0.024,7
DEN,2006,5.77,9,10,29,5.94,4.4,4.1,0.040,0.032,0.031,0.026,5
DET,2006,5.80,3,11,21,6.51,3.7,4.1,0.037,0.023,0.028,0.027,-3
GB,2006,5.80,8,12,26,5.90,3.9,4.1,0.029,0.045,0.029,0.028,2
HOU,2006,5.30,6,13,11,6.47,3.9,4.4,0.027,0.022,0.031,0.019,-13
IND,2006,7.53,12,14,27,5.79,4,5.3,0.016,0.036,0.012,0.027,3
JAX,2006,6.05,8,15,30,5.52,5,3.5,0.031,0.038,0.016,0.015,6
KC,2006,6.11,9,16,28,6.20,4.2,4.2,0.027,0.030,0.024,0.027,4
MIA,2006,5.20,6,17,21,5.53,4.2,3.5,0.032,0.016,0.019,0.033,-3
MIN,2006,5.36,6,18,22,6.07,4.1,2.8,0.037,0.035,0.031,0.027,-2
NE,2006,6.12,12,19,30,5.70,3.9,3.9,0.023,0.042,0.028,0.026,6
NO,2006,7.47,10,20,15,5.57,3.7,4.9,0.022,0.023,0.021,0.021,-9
NYG,2006,5.58,8,21,17,6.09,4.7,4,0.034,0.030,0.023,0.026,-7
NYJ,2006,6.04,10,22,18,5.68,3.5,4.6,0.033,0.030,0.018,0.016,-6
OAK,2006,4.36,2,23,36,5.43,3.9,4,0.050,0.044,0.041,0.016,12
PHI,2006,7.20,10,24,26,5.43,4.8,4.5,0.017,0.036,0.025,0.027,2
PIT,2006,6.53,8,25,22,5.97,4.2,3.5,0.044,0.038,0.023,0.020,-2
SD,2006,6.60,14,26,19,5.36,4.9,4.2,0.019,0.030,0.016,0.028,-5
SF,2006,5.59,7,27,39,6.47,5,4.1,0.036,0.027,0.026,0.023,15
SS,2006,5.44,9,28,29,5.97,4,4.6,0.043,0.024,0.023,0.028,5
STL,2006,6.18,8,29,29,6.26,4.3,4.9,0.014,0.038,0.018,0.027,5
TB,2006,4.93,4,30,37,6.47,3.8,3.9,0.034,0.022,0.031,0.023,13
TEN,2006,5.45,8,31,19,6.48,4.7,4.6,0.043,0.032,0.029,0.018,-5
WAS,2006,6.19,5,32,4,6.91,4.5,4.5,0.021,0.012,0.024,0.014,-20
ARI,2007,6.62,8,1,17,6.13,3.6,3.9,0.041,0.032,0.035,0.025,-7
ATL,2007,5.48,4,2,28,6.52,3.9,4.2,0.027,0.030,0.021,0.019,4
BAL,2007,5.09,5,3,7,6.81,4,2.8,0.025,0.035,0.030,0.012,-17
BUF,2007,5.59,7,4,33,6.43,4,4.4,0.031,0.032,0.020,0.025,9
CAR,2007,5.08,7,5,25,6.12,4,3.8,0.034,0.026,0.026,0.031,1
CHI,2007,5.49,7,6,23,6.37,3.1,4.3,0.037,0.030,0.032,0.035,-1
CIN,2007,6.78,7,7,29,6.56,3.7,4.2,0.035,0.035,0.020,0.024,5
CLE,2007,6.61,10,8,22,6.07,4.3,4.5,0.037,0.029,0.022,0.018,-2
DAL,2007,7.38,13,9,29,5.44,4.2,4,0.036,0.033,0.020,0.023,5
DEN,2007,6.55,7,10,25,6.30,4.6,4.6,0.029,0.031,0.030,0.033,1
DET,2007,6.05,7,11,23,6.46,4,4.3,0.037,0.028,0.042,0.035,-1
GB,2007,7.26,13,12,28,5.91,4.1,3.9,0.026,0.036,0.029,0.016,4
HOU,2007,6.81,8,13,11,6.38,3.8,4.4,0.040,0.020,0.031,0.022,-13
IND,2007,7.03,13,14,42,5.25,3.8,3.8,0.025,0.044,0.013,0.030,18
JAX,2007,6.66,11,15,33,5.89,4.6,4.1,0.017,0.037,0.015,0.021,9
KC,2007,5.15,4,16,13,6.06,3.3,4.3,0.036,0.030,0.023,0.020,-11
MIA,2007,5.05,1,17,17,6.88,4,4.5,0.029,0.034,0.027,0.016,-7
MIN,2007,5.84,8,18,25,6.18,5.3,3.1,0.032,0.023,0.029,0.042,1
NE,2007,7.79,16,19,40,5.31,4.1,4.4,0.015,0.036,0.011,0.025,16
