PID,TYPE,BC,PSR,TRG,CONV
519187,RUSH,DS-3300,XX-0000,XX-0000,Y
519694,PASS,XX-0000,BG-0100,JB-3650,Y
520163,PASS,XX-0000,AR-1300,JN-0900,Y
520319,PASS,XX-0000,BR-1100,LP-0700,N
520331,PASS,XX-0000,PM-0200,WM-0300,Y
520355,RUSH,WM-0300,XX-0000,XX-0000,N
520681,PASS,XX-0000,CP-0500,RS-3250,Y
521672,RUSH,AB-3400,XX-0000,XX-0000,Y
522203,PASS,XX-0000,TB-2300,RG-2200,N
522338,RUSH,DR-1450,XX-0000,XX-0000,Y
523992,RUSH,MJ-2500,XX-0000,XX-0000,N
524882,PASS,XX-0000,MS-4100,NB-0800,Y
525271,RUSH,MB-3000,XX-0000,XX-0000,N
526084,PASS,XX-0000,AR-1300,JJ-4200,N
526553,PASS,XX-0000,XX-0000,XX-0000,N
527762,PASS,XX-0000,RT-0150,JL-0260,Y
528094,PASS,XX-0000,JF-3100,MW-2800,N
528629,PASS,XX-0000,KO-0700,DB-5300,Y
529254,PASS,XX-0000,AL-1100,RW-1100,N
529290,PASS,XX-0000,AR-1300,JJ-4200,N
529306,RUSH,DB-4800,XX-0000,XX-0000,Y
531587,PASS,XX-0000,SB-1100,SJ-0200,Y
532314,PASS,XX-0000,TR-0800,DB-5300,N
532964,PASS,XX-0000,CP-2000,KR-1200,Y
532979,PASS,XX-0000,XX-0000,XX-0000,N
535245,PASS,XX-0000,BR-1100,HM-0200,Y
535644,PASS,XX-0000,JF-3100,MW-2800,N
535812,PASS,XX-0000,JC-6200,BM-0300,N
536311,PASS,XX-0000,MS-0100,DK-0400,N
536584,PASS,XX-0000,BG-0100,JB-3650,N
