GID,PID,OFF,DEF,TYPE,DSEQ,LEN,QTR,MIN,SEC,PTSO,PTSD,TIMO,TIMD,DWN,YTG,YFOG,ZONE,OLID
3189,518049,NYG,DAL,KOFF,0,4,1,15,0,0,0,3,3,0,0,0,0,0
3189,518050,NYG,DAL,PASS,1,7,1,14,56,0,0,3,3,1,10,16,1,1432
3189,518051,NYG,DAL,PASS,2,44,1,14,49,0,0,3,3,2,10,16,1,1432
3189,518052,NYG,DAL,PASS,3,7,1,14,5,0,0,3,3,3,5,21,2,1432
3189,518053,DAL,NYG,PUNT,0,14,1,13,58,0,0,3,3,4,5,21,2,0
3189,518054,DAL,NYG,RUSH,1,37,1,13,44,0,0,3,3,1,10,24,2,1433
3189,518055,DAL,NYG,PASS,2,40,1,13,7,0,0,3,3,2,7,27,2,1433
3189,518056,DAL,NYG,PASS,3,6,1,12,27,0,0,3,3,3,15,19,1,1433
3189,518057,NYG,DAL,PUNT,0,12,1,12,21,0,0,3,3,4,15,19,1,0
3189,518058,NYG,DAL,RUSH,1,38,1,12,9,0,0,3,3,1,10,13,1,1432
3189,518059,NYG,DAL,RUSH,2,41,1,11,31,0,0,3,3,2,8,15,1,1432
3189,518060,NYG,DAL,PASS,3,30,1,10,50,0,0,3,3,3,5,18,1,1432
3189,518061,NYG,DAL,PASS,4,44,1,10,20,0,0,3,3,1,10,44,3,1432
3189,518062,NYG,DAL,NOPL,4,24,1,9,36,0,0,3,3,2,1,53,3,0
3189,518063,NYG,DAL,PASS,5,43,1,9,12,0,0,3,3,2,6,48,3,1432
3189,518064,NYG,DAL,RUSH,6,36,1,8,29,0,0,3,3,1,10,58,3,1432
3189,518065,NYG,DAL,PASS,7,28,1,7,53,0,0,3,3,2,7,61,4,1432
3189,518066,NYG,DAL,RUSH,8,42,1,7,25,0,0,3,3,1,10,69,4,1432
3189,518067,NYG,DAL,RUSH,9,10,1,6,43,0,0,3,3,2,8,71,4,1432
3189,518068,DAL,NYG,RUSH,1,39,1,6,33,0,0,3,3,1,10,34,2,1433
3189,518069,DAL,NYG,NOPL,1,15,1,5,54,0,0,3,3,2,8,36,2,0
3189,518070,DAL,NYG,PASS,2,38,1,5,39,0,0,3,3,2,13,31,2,1433
3189,518071,DAL,NYG,PASS,3,35,1,5,1,0,0,3,3,3,4,40,2,1433
3189,518072,DAL,NYG,NOPL,3,17,1,4,26,0,0,3,3,1,10,54,3,0
3189,518073,DAL,NYG,RUSH,4,47,1,4,9,0,0,3,3,1,15,49,3,1433
3189,518074,DAL,NYG,PASS,5,9,1,3,22,0,0,3,3,2,10,54,3,1433
3189,518075,DAL,NYG,PASS,6,27,1,3,13,0,0,3,3,3,10,54,3,1433
3189,518076,DAL,NYG,RUSH,7,34,1,2,46,0,0,3,3,4,1,63,4,1433
3189,518077,NYG,DAL,PASS,1,37,1,2,12,0,0,3,3,1,10,37,2,1432
3189,518078,NYG,DAL,RUSH,2,37,1,1,35,0,0,3,3,1,10,47,3,1432
3189,518079,NYG,DAL,RUSH,3,37,1,0,58,0,0,3,3,2,7,50,3,1432
3189,518080,NYG,DAL,PASS,4,30,1,0,21,0,0,3,3,3,2,55,3,1432
3189,518081,NYG,DAL,PASS,5,30,2,15,0,0,0,3,3,1,10,59,3,1432
3189,518082,NYG,DAL,PASS,6,44,2,14,30,0,0,3,3,2,25,44,3,1432
3189,518083,NYG,DAL,PASS,7,10,2,13,46,0,0,3,3,3,14,55,3,1432
3189,518084,DAL,NYG,PUNT,0,9,2,13,36,0,0,3,3,4,14,55,3,0
3189,518085,DAL,NYG,PASS,1,46,2,13,27,0,0,3,3,1,10,20,1,1433
3189,518086,DAL,NYG,RUSH,2,44,2,12,41,0,0,3,3,1,10,38,2,1433
3189,518087,DAL,NYG,RUSH,3,47,2,11,57,0,0,3,3,2,11,37,2,1433
3189,518088,DAL,NYG,NOPL,3,24,2,11,10,0,0,3,3,3,3,45,3,0
3189,518089,DAL,NYG,PASS,4,16,2,10,46,0,0,3,3,3,8,40,2,1433
3189,518090,NYG,DAL,RUSH,1,25,2,10,30,0,0,3,3,1,1,99,5,1432
3189,518091,NYG,DAL,RUSH,2,42,2,10,5,0,0,3,3,2,3,97,5,1432
3189,518092,NYG,DAL,PASS,3,9,2,9,23,0,0,3,3,3,4,96,5,1432
3189,518093,NYG,DAL,FGXP,4,4,2,9,14,0,0,3,3,4,4,96,5,0
3189,518094,DAL,NYG,KOFF,0,5,2,9,10,0,3,3,3,0,0,0,0,0
3189,518095,DAL,NYG,RUSH,1,32,2,9,5,0,3,3,3,1,10,20,1,1433
3189,518096,DAL,NYG,PASS,2,34,2,8,33,0,3,3,3,2,8,22,2,1433
3189,518097,DAL,NYG,RUSH,3,39,2,7,59,0,3,3,3,1,10,32,2,1433
3189,518098,DAL,NYG,NOPL,3,28,2,7,20,0,3,3,3,2,7,35,2,0
3189,518099,DAL,NYG,RUSH,4,46,2,6,52,0,3,3,3,2,12,30,2,1433
3189,518100,DAL,NYG,PASS,5,38,2,6,6,0,3,3,3,3,15,27,2,1433
3189,518101,NYG,DAL,PUNT,0,10,2,5,28,3,0,3,3,4,6,36,2,0
