PID,DFB
518074,CW-1200
518092,OS-0200
518148,MC-1800
518175,BC-0500
518214,JP-4100
518224,BU-0200
518230,TZ-0100
518232,AB-1500
518245,JP-4100
518267,CC-4000
518273,JK-1300
518274,CR-0500
518287,TJ-1000
518303,JK-1300
518312,KH-1000
518326,AB-1500
518352,DM-2800
518354,DM-2800
518383,DR-2800
518442,NA-0200
518456,CR-1150
518471,BB-2530
518473,KM-0100
518475,AR-2000
518479,DJ-0500
518488,NA-0200
518498,DR-2800
518503,JS-2100
518521,BS-2300
518533,NA-0200
518544,EH-0100
518550,LF-0550
518563,EB-0800
518645,SW-0700
518659,JB-0200
518688,AS-0100
518690,JA-0100
518702,SN-0500
518813,DR-1100
518836,DR-1100
518855,YB-0100
518856,IT-0200
518919,DF-1200
518941,BF-0600
518973,CF-0500
519019,BF-0600
519034,SB-0900
519076,JP-1400
519150,SB-0900
519152,LF-0300
519155,PR-0400
519174,JW-5300
519183,MW-2000
519184,CG-2800
519185,BO-0400
519199,JW-5300
519205,BO-0400
519206,BO-0400
519262,RM-0800
519272,KJ-0100
519287,JW-1100
519291,KB-2500
519369,TJ-0900
519393,DM-1300
519468,DM-1300
519503,JM-1900
519554,CC-4200
519559,CC-4200
519570,CP-2500
519598,PP-0800
519600,RM-1300
519635,BR-1000
519652,RA-0800
519659,MR-0300
519663,CG-2400
519691,CG-2400
519711,HS-0130
519717,MB-0650
519737,RB-0700
519742,FA-0200
519752,EW-1700
519754,FA-0200
519787,CJ-1300
519815,CG-0200
519822,MB-0650
519830,CM-3400
519839,CM-3400
519846,AT-0100
519887,BM-1800
519910,RB-4300
519938,BM-1800
519946,KC-0900
519954,CC-0200
519971,WG-0500
519985,RS-1000
519988,JJ-4300
520000,JJ-4300
520024,MA-0100
520025,MA-0100
520028,PP-0400
520029,MA-0100
520065,TB-2800
520155,NB-0400
520188,DW-2600
520198,CC-5300
520205,LF-0500
520208,IT-0100
520231,RM-5300
520241,CB-0100
520243,TP-2000
520263,MA-0200
520296,MA-0200
520305,MA-0200
520306,TP-2000
520307,RM-4600
520327,KL-0600
520334,TP-2000
520335,TP-2000
520349,KL-0600
520372,BP-0900
520383,TH-2800
520396,CW-2300
520423,RM-1600
520426,BP-0900
520437,ER-0100
520460,RN-0300
520465,LH-0300
520470,CW-2300
520479,NC-0200
520488,HN-0300
520509,JM-2400
520519,LH-0300
520530,AC-1000
520547,QJ-0100
520598,AB-1600
520646,PW-0700
520654,QJ-0100
520691,TJ-1000
520705,CM-0900
520759,MB-5100
520765,LB-0900
520800,BR-0100
520856,LH-0300
520877,JS-2100
520898,JM-4300
520917,LH-0300
521053,BF-0800
521068,MA-0800
521089,SG-0650
521093,SR-1300
521095,DP-1450
521098,MW-2300
521130,SG-0650
521144,TH-0850
521159,AW-1200
521175,GW-1400
521221,JA-0900
521242,CR-0500
521247,HS-0130
521265,AW-1800
521279,AB-1500
