UID,GID,PLAYER,SOLO,COMB,SCK,SAF,BLK,INT,PDEF,FRCV,FORC,TDD,PENY,FPTS,GAME,SEAS,YEAR,TEAM
1,3189,SL-0500,8,4,0,0,0,0,0,0,1,0,0,12,1,3,2012,DAL
2,3189,CB-1600,4,2,0,0,0,0,0,0,0,0,0,5,1,8,2012,NYG
3,3189,RB-2000,1,2,1,0,0,0,0,0,0,0,0,6,1,11,2012,NYG
4,3189,JH-5450,0,1,0,0,0,0,0,0,0,0,13,-0.8,1,1,2012,NYG
5,3189,JP-4175,0,2,0,0,0,0,0,0,0,0,0,1,1,3,2012,DAL
6,3189,JH-2800,3,2,1,0,0,0,0,0,0,0,15,6.5,1,7,2012,DAL
7,3189,DW-1100,2,3,2,0,0,0,0,0,0,0,0,11.5,1,8,2012,DAL
8,3189,GS-0900,2,0,0,0,0,0,0,0,0,0,0,2,1,8,2012,DAL
9,3189,BC-0600,4,1,0,0,0,0,0,0,0,0,0,4.5,1,2,2012,DAL
10,3189,MC-1350,4,0,0,0,0,0,0,0,0,0,0,4,1,1,2012,DAL
11,3189,SL-0700,0,2,0,0,0,0,0,0,0,0,0,1,1,3,2012,DAL
12,3189,BC-1200,0,1,0,0,0,0,0,1,0,0,0,2.5,1,3,2012,DAL
13,3189,LJ-1700,1,1,1,0,0,0,0,0,0,0,5,5,1,3,2012,NYG
14,3189,KR-0900,3,4,0,0,0,0,0,0,0,0,0,5,1,5,2012,NYG
15,3189,KP-0600,3,1,0,0,0,0,0,0,0,0,0,3.5,1,5,2012,NYG
16,3189,JW-3600,2,3,0,0,0,0,0,0,0,0,0,3.5,1,2,2012,NYG
17,3189,CW-1200,2,0,0,0,0,0,1,0,0,0,0,3,1,8,2012,NYG
18,3189,MC-1800,2,3,0,0,0,0,1,0,0,0,0,4.5,1,6,2012,NYG
19,3189,AR-1400,5,4,0,0,0,0,0,0,0,0,0,7,1,8,2012,NYG
20,3189,AS-3100,3,4,0,0,0,0,0,0,0,0,0,5,1,6,2012,DAL
21,3189,OS-0200,1,1,0,0,0,0,1,0,0,0,0,2.5,1,5,2012,DAL
22,3189,JT-3800,1,3,0,0,0,0,0,0,0,0,0,2.5,1,8,2012,NYG
23,3189,MB-2700,0,1,0,0,0,1,0,0,0,0,0,2.5,1,8,2012,NYG
24,3189,MS-3500,1,1,0,0,0,0,0,0,0,0,0,1.5,1,8,2012,DAL
25,3189,JP-2900,1,3,0,0,0,0,0,0,0,0,0,2.5,1,3,2012,NYG
26,3189,KC-1700,0,1,0,0,0,0,0,0,0,0,0,0.5,1,11,2012,DAL
27,3189,MK-0900,0,1,0,0,0,0,0,0,0,0,0,0.5,1,7,2012,NYG
28,3189,MS-1600,1,0,0,0,0,0,0,0,0,0,0,1,1,2,2012,DAL
29,3189,JT-3700,1,2,0,0,0,0,0,0,0,0,0,2,1,5,2012,NYG
30,3189,MK-1700,0,1,0,0,0,0,0,0,0,0,0,0.5,1,1,2012,NYG
31,3189,OU-0100,1,0,0,0,0,0,0,0,0,0,0,1,1,10,2012,NYG
32,3189,BC-0500,1,0,0,0,0,0,1,0,0,0,0,2,1,5,2012,DAL
33,3190,RM-1400,5,0,2,0,0,0,0,0,0,0,0,13,1,10,2012,IND
34,3190,JK-1300,1,1,0,0,0,0,2,0,0,0,19,1.6,1,4,2012,IND
35,3190,MF-1200,1,1,0,0,0,0,0,0,0,0,0,1.5,1,4,2012,IND
36,3190,LB-0900,2,0,0,0,0,0,0,0,0,0,0,2,1,10,2012,CHI
37,3190,II-0100,1,0,0,0,0,0,0,0,0,0,0,1,1,9,2012,CHI
38,3190,JF-3060,5,0,0,0,0,1,0,0,0,1,0,13,1,5,2012,IND
39,3190,KC-2200,5,0,0,0,0,0,0,0,0,0,0,5,1,3,2012,IND
40,3190,VD-0200,5,0,0,0,0,0,0,0,0,0,0,5,1,4,2012,IND
41,3190,AB-1500,9,0,0,0,0,0,2,0,0,0,0,11,1,7,2012,IND
42,3190,JP-4100,6,0,0,0,0,0,2,0,0,0,0,8,1,4,2012,IND
43,3190,TZ-0100,4,0,0,0,0,0,1,0,0,0,0,5,1,5,2012,IND
44,3190,MH-1450,2,0,0,0,0,0,0,0,0,0,0,2,1,1,2012,IND
45,3190,BU-0200,1,1,0,0,0,0,1,0,0,0,0,2.5,1,13,2012,CHI
46,3190,HM-0100,4,1,2,0,0,0,0,0,0,0,0,12.5,1,3,2012,CHI
47,3190,MW-3600,6,1,0,0,0,0,0,0,0,0,0,6.5,1,3,2012,CHI
48,3190,JP-2000,3,0,0,0,0,0,0,1,0,0,0,5,1,11,2012,CHI
49,3190,SM-1050,0,0,0,0,0,0,0,0,0,0,5,-0.5,1,1,2012,CHI
50,3190,KH-1000,5,2,0,0,0,0,1,0,0,0,0,7,1,8,2012,CHI
51,3190,TJ-1000,2,2,0,0,0,2,1,0,0,0,6,7.4,1,7,2012,CHI
52,3190,DN-0600,1,0,0,0,0,0,0,0,0,0,0,1,1,2,2012,IND
