UID,GID,FPID,TNAME,DRVN,OBT,QTR,MIN,SEC,YFOG,PLAYS,SUCC,RFD,PFD,OFD,RY,RA,PY,PA,PC,PEYF,PEYA,NET,RES,
1,3189,518054,DAL,1,PUNT,1,1,35,24,3,0,0,0,0,3,1,-8,2,0,0,0,-5,PUNT,
2,3189,518068,DAL,2,FUM,1,4,21,34,7,2,0,1,1,7,3,32,4,3,0,10,29,DWNS,
3,3189,518085,DAL,3,PUNT,2,2,57,20,4,2,0,1,0,7,2,18,2,1,0,6,20,INT,
4,3189,518095,DAL,4,KOFF,2,3,52,20,5,1,0,1,0,2,3,19,2,2,0,5,16,PUNT,
5,3189,518106,DAL,5,PUNT,2,2,33,27,7,6,0,3,0,9,1,69,6,5,0,5,73,TD,
6,3189,518120,DAL,6,KOFF,3,4,36,20,9,6,2,2,0,15,3,65,6,4,0,0,80,TD,
7,3189,518142,DAL,7,KOFF,3,4,31,20,8,5,2,0,0,61,3,4,4,2,0,0,65,FG,
8,3189,518158,DAL,8,PUNT,4,7,6,18,8,8,1,3,1,34,4,78,4,4,5,35,82,TD,
9,3189,518188,DAL,9,KOFF,4,2,36,26,7,3,0,1,0,7,6,13,1,1,0,10,8,ENDQ,
10,3189,518050,NYG,1,KOFF,1,1,16,16,3,0,0,0,0,0,0,5,3,1,0,0,5,PUNT,
11,3189,518058,NYG,2,PUNT,1,5,36,13,9,4,0,3,0,11,5,53,4,4,0,5,59,FUM,
12,3189,518077,NYG,3,DWNS,1,3,45,37,7,3,0,2,0,8,2,10,5,3,0,0,18,PUNT,
13,3189,518090,NYG,4,INT,2,1,20,99,4,0,0,0,0,-3,2,0,1,0,0,0,-3,FG,
14,3189,518102,NYG,5,PUNT,2,1,44,16,3,0,0,0,0,2,2,0,1,0,0,0,2,PUNT,
15,3189,518116,NYG,6,KOFF,2,1,1,30,3,0,0,0,0,5,1,-6,2,0,0,0,-1,ENDQ,
16,3189,518131,NYG,7,KOFF,3,5,13,11,9,7,1,4,0,17,3,82,6,6,0,10,89,TD,
17,3189,518151,NYG,8,KOFF,3,2,37,18,5,2,0,0,1,5,2,1,3,1,15,0,21,PUNT,
18,3189,518174,NYG,9,KOFF,4,3,21,21,12,5,2,2,0,37,2,42,10,6,0,0,79,TD,
19,3190,518196,CHI,1,KOFF,1,1,52,16,3,0,0,0,0,3,1,-12,2,0,0,2,-11,PUNT,
20,3190,518205,CHI,2,PUNT,1,0,5,3,1,0,0,0,0,0,0,0,1,0,0,0,0,INT,
21,3190,518208,CHI,3,KOFF,1,4,4,20,11,4,3,1,1,48,5,13,6,1,19,0,80,TD,
22,3190,518230,CHI,4,PUNT,1,0,58,20,3,0,0,0,0,3,1,0,2,0,0,0,3,PUNT,
23,3190,518239,CHI,5,PUNT,1,5,52,5,11,7,1,5,0,8,3,97,8,7,0,10,95,TD,
24,3190,518255,CHI,6,INT,2,4,8,37,7,2,0,2,0,8,3,48,3,3,0,10,46,FG,
25,3190,518272,CHI,7,KOFF,2,2,33,28,8,5,1,4,0,2,2,70,6,4,0,0,72,TD,
26,3190,518289,CHI,8,MFG,2,0,2,27,1,0,0,0,0,-1,1,0,0,0,0,0,-1,ENDQ,
27,3190,518295,CHI,9,PUNT,3,2,16,45,4,4,2,1,0,32,3,23,1,1,0,0,55,TD,
28,3190,518301,CHI,10,KOFF,3,1,44,88,4,0,0,0,0,-4,1,8,2,1,0,0,4,FG,
29,3190,518318,CHI,11,INT,3,2,9,32,3,0,0,0,0,-1,1,-9,2,1,0,0,-10,PUNT,
30,3190,518325,CHI,12,FUM,3,1,37,41,3,0,0,0,1,-3,1,12,2,1,0,0,9,PUNT,
31,3190,518343,CHI,13,KOFF,4,4,12,20,7,6,1,2,0,16,5,64,2,2,0,0,80,TD,
32,3190,518358,CHI,14,PUNT,4,2,20,25,3,0,0,0,0,6,3,0,0,0,0,10,-4,PUNT,
33,3190,518368,CHI,15,INT,4,1,42,26,3,0,0,0,0,-3,3,0,0,0,0,0,-3,ENDQ,
34,3190,518201,IND,1,PUNT,1,1,40,50,3,1,0,0,0,-2,1,8,2,1,0,0,6,PUNT,
35,3190,518223,IND,2,KOFF,1,3,0,20,6,3,1,0,0,-1,2,18,4,2,0,0,17,PUNT,
36,3190,518234,IND,3,PUNT,1,1,56,44,3,0,0,0,0,4,2,0,1,0,5,0,9,PUNT,
37,3190,518253,IND,4,KOFF,2,0,53,20,2,1,0,1,0,0,0,17,2,1,0,0,17,INT,
38,3190,518264,IND,5,KOFF,2,2,15,23,5,4,2,2,0,36,2,35,3,2,6,0,77,TD,
39,3190,518283,IND,6,KOFF,2,0,42,22,6,4,0,3,0,0,0,59,5,4,0,0,59,MFG,
40,3190,518291,IND,7,KOFF,3,0,58,20,3,0,0,0,0,1,1,0,2,0,0,0,1,PUNT,
41,3190,518306,IND,8,KOFF,3,5,16,20,11,5,0,3,0,4,3,61,8,4,5,0,70,INT,
42,3190,518322,IND,9,PUNT,3,0,48,46,3,1,1,0,0,13,1,-4,2,0,0,0,9,FUM,
43,3190,518329,IND,10,PUNT,3,4,52,20,12,7,0,5,0,8,3,72,9,6,0,0,80,TD,
44,3190,518352,IND,11,KOFF,4,1,20,19,5,1,0,1,0,0,0,2,5,1,0,0,2,PUNT,
45,3190,518363,IND,12,PUNT,4,0,46,43,5,1,0,1,0,0,0,21,5,2,0,0,21,INT,
46,3191,518379,CLE,1,FUM,1,1,58,49,6,1,0,1,1,2,2,24,3,1,0,0,26,FG,
47,3191,518397,CLE,2,INT,1,2,27,40,3,0,0,0,0,2,1,2,2,2,5,0,9,PUNT,
48,3191,518410,CLE,3,KOFF,2,2,47,34,6,3,1,1,0,41,3,12,3,1,0,0,53,INT,
49,3191,518420,CLE,4,PUNT,2,1,33,31,3,1,0,0,0,8,2,0,1,0,0,0,8,PUNT,
50,3191,518430,CLE,5,PUNT,2,0,54,36,3,0,0,0,0,-1,1,0,2,0,0,0,-1,INT,
