PID,FGXP,FKICKER,DIST,GOOD
518093,FG,LT-1100,22,Y
518114,XP,DB-0200,20,Y
518129,XP,DB-0200,20,Y
518140,XP,LT-1100,20,Y
518149,FG,DB-0200,33,Y
518172,XP,DB-0200,20,Y
518186,XP,LT-1100,20,Y
518206,XP,AV-0400,20,Y
518221,XP,RG-1500,20,Y
518251,XP,RG-1500,20,Y
518262,FG,RG-1500,35,Y
518270,XP,AV-0400,20,Y
518281,XP,RG-1500,20,Y
518288,FG,AV-0400,37,N
518299,XP,RG-1500,20,Y
518304,FG,RG-1500,26,Y
518341,XP,AV-0400,20,Y
518350,XP,RG-1500,20,Y
518384,FG,PD-0200,43,Y
518408,FG,AH-2600,42,Y
518461,XP,AH-2600,20,Y
518491,FG,PD-0200,42,Y
518511,FG,PD-0200,22,Y
518515,XP,PD-0200,20,Y
518527,FG,AH-2600,45,N
518552,XP,AH-2600,20,Y
518571,XP,MB-4600,20,Y
518583,FG,RS-3400,39,Y
518589,FG,MB-4600,34,Y
518600,XP,RS-3400,20,Y
518610,XP,MB-4600,20,Y
518620,XP,RS-3400,20,Y
518632,FG,MB-4600,21,Y
518646,FG,RS-3400,40,N
518656,XP,MB-4600,20,Y
518662,XP,MB-4600,20,Y
518673,FG,MB-4600,30,Y
518681,FG,MB-4600,41,Y
518710,XP,RS-3400,20,Y
518734,XP,NF-0300,20,Y
518748,XP,NF-0300,20,Y
518756,XP,NF-0300,20,Y
518765,XP,RL-0900,20,Y
518781,FG,NF-0300,25,Y
518791,FG,NF-0300,39,Y
518798,XP,NF-0300,20,Y
518809,XP,NF-0300,20,Y
518821,XP,RL-0900,20,Y
518847,XP,RL-0900,20,Y
518859,XP,RL-0900,20,Y
518870,XP,NF-0300,20,Y
518899,FG,GZ-2000,48,Y
518915,XP,JH-0900,20,Y
518931,FG,GZ-2000,29,Y
518936,XP,GZ-2000,20,Y
518942,FG,JH-0900,41,Y
518956,FG,JH-0900,45,Y
518995,XP,GZ-2000,20,Y
519002,XP,JH-0900,20,Y
519016,FG,GZ-2000,46,Y
519027,XP,JH-0900,20,Y
519047,FG,BC-3000,37,Y
519056,XP,GH-0600,20,Y
519059,XP,BC-3000,20,Y
519079,XP,BC-3000,20,Y
519092,FG,BC-3000,41,Y
519108,XP,GH-0600,20,Y
519121,XP,BC-3000,20,Y
519136,FG,BC-3000,37,Y
519153,FG,GH-0600,21,Y
519169,FG,BC-3000,45,Y
519196,XP,BC-3000,20,Y
519209,XP,GH-0600,20,Y
519241,FG,SG-1100,52,N
519249,FG,DC-0500,39,Y
519281,FG,SG-1100,35,Y
519297,XP,SG-1100,20,Y
519303,XP,SG-1100,20,Y
519309,XP,SG-1100,20,Y
519317,XP,DC-0500,20,Y
519329,FG,SG-1100,40,Y
519346,FG,SG-1100,19,Y
519394,FG,RB-2200,28,Y
519412,XP,SG-0800,20,Y
519428,XP,SG-0800,20,Y
519449,XP,SG-0800,20,Y
519471,XP,RB-2200,20,Y
519495,XP,SG-0800,20,Y
519514,FG,RB-2200,24,Y
519527,FG,SG-0800,25,Y
519538,FG,SG-0800,31,Y
519566,FG,JS-1100,19,Y
519593,XP,JS-1100,20,N
519613,XP,BW-0350,20,Y
519628,XP,BW-0350,20,Y
519641,FG,JS-1100,26,Y
519653,FG,BW-0350,20,Y
519664,FG,JS-1100,47,Y
519675,FG,BW-0350,42,Y
519698,FG,BW-0350,55,Y
519707,FG,BW-0350,38,Y
519733,XP,CB-0700,20,Y
519743,FG,CB-0700,36,Y
519768,FG,CB-0700,20,Y
519795,XP,JM-4000,20,Y
519831,FG,CB-0700,40,Y
519848,FG,JM-4000,21,Y
519865,FG,SH-0400,50,N
519874,FG,SH-0400,27,Y
519889,FG,JF-0900,21,Y
519912,XP,JF-0900,20,Y
519949,FG,JF-0900,31,Y
519956,XP,SH-0400,20,Y
519963,FG,SH-0400,47,Y
519994,FG,SH-0400,39,Y
520009,XP,JF-0900,20,Y
520057,FG,DA-0300,40,Y
520079,XP,DA-0300,20,Y
520096,XP,MC-3000,20,Y
520108,FG,DA-0300,43,Y
520118,FG,DA-0300,63,Y
520134,XP,DA-0300,20,Y
520171,XP,DA-0300,20,Y
520180,XP,MC-3000,20,Y
520244,FG,SS-3100,21,Y
520258,XP,MP-2100,20,Y
520276,XP,SS-3100,20,Y
520299,FG,SS-3100,35,Y
520303,XP,MP-2100,20,Y
520350,FG,MP-2100,26,Y
520368,FG,JT-3950,46,Y
520386,XP,JT-3950,20,Y
520402,FG,MN-0800,34,Y
520409,XP,JT-3950,20,Y
520439,XP,MN-0800,20,Y
520454,FG,MN-0800,19,Y
520467,XP,JT-3950,20,Y
520480,FG,JT-3950,40,Y
520485,XP,JT-3950,20,Y
520493,XP,JT-3950,20,Y
520520,FG,JT-3950,39,Y
520549,FG,SJ-0300,51,Y
520559,FG,NK-0200,23,Y
520585,XP,NK-0200,20,Y
520601,FG,SJ-0300,19,Y
520624,FG,NK-0200,28,Y
520634,FG,NK-0200,19,Y
520648,FG,NK-0200,41,Y
520665,FG,NK-0200,45,Y
520731,FG,MC-3000,48,Y
520754,XP,MC-3000,20,Y
520767,FG,MC-3000,35,Y
520781,FG,RG-1500,45,Y
520808,FG,MC-3000,54,Y
520812,XP,MC-3000,20,Y
520827,XP,RG-1500,20,Y
520852,XP,MN-0800,20,Y
520863,FG,PD-0200,50,Y
520895,XP,MN-0800,20,Y
520903,XP,PD-0200,20,Y
520914,FG,MN-0800,39,Y
520939,XP,MN-0800,20,Y
520967,XP,PD-0200,20,Y
520977,XP,MN-0800,20,Y
520987,XP,PD-0200,20,Y
521000,FG,MN-0800,37,Y
521010,FG,PD-0200,25,Y
521042,XP,RL-0900,20,Y
521055,XP,RL-0900,20,Y
521077,XP,RL-0900,20,Y
521111,FG,RS-3400,33,Y
521118,XP,RL-0900,20,Y
521125,XP,RL-0900,20,Y
521151,XP,RS-3400,20,Y
521166,XP,RS-3400,20,Y
521191,FG,BW-0350,51,Y
521207,XP,AV-0400,20,Y
521217,FG,BW-0350,29,Y
521239,FG,AV-0400,26,Y
521253,XP,AV-0400,20,Y
