PID,FUM,FRCV,FRY,FORC
518067,DW-4050,BC-1200,6,SL-0500
518324,AL-1100,JP-2000,0,CW-3800
518378,LM-1000,DJ-0500,0,TW-0600
518386,MV-0300,LM-1000,0,XX-0000
518469,BW-0850,JT-1600,0,JB-0100
518485,BW-0850,TR-0350,0,XX-0000
518545,MV-0300,MV-0300,0,AR-2000
518588,HD-0300,XX-0000,0,SR-1300
518660,MC-0700,SN-0500,0,JA-0100
518773,SG-1300,SG-1300,0,BS-1500
518783,CS-3400,YB-0100,8,LL-0200
518868,SG-1300,SG-1300,0,SG-0650
518983,SB-1100,HD-0100,0,CW-2900
519044,RG-1850,RG-1850,0,XX-0000
519103,MC-2400,XX-0000,0,CG-2800
519228,RT-0150,DT-0600,0,XX-0000
519248,RB-4900,JM-1130,0,BC-3100
519305,DT-0600,DM-0200,1,GQ-0100
519427,JL-2300,DH-2950,6,CJ-2050
519623,BG-0100,KW-1400,0,XX-0000
519637,CP-2000,CM-3300,0,TK-0800
519835,CN-0500,CN-0500,0,MB-1900
519867,RW-3400,BM-1800,0,KW-2500
519941,ML-2500,RW-3850,0,WG-0500
519944,RW-3850,PL-0200,0,XX-0000
519996,JS-3700,JS-3700,0,CC-2600
520054,MM-0700,XX-0000,0,CW-3700
520218,WM-0300,LW-1600,0,LF-0500
520352,BR-1100,BR-1100,0,XX-0000
520376,JF-1900,AB-2000,0,XX-0000
520489,AD-0100,LW-0700,0,RL-0600
520526,BG-1000,BG-1000,0,XX-0000
520538,RS-3250,AB-0600,0,MI-0150
520565,TJ-2400,TJ-2400,0,XX-0000
520617,TG-1200,SL-0400,0,XX-0000
520657,TG-1200,DA-1900,0,XX-0000
520798,JF-1600,CT-1500,1,CT-1500
520918,CO-0300,MJ-1800,0,TN-0400
521070,MC-0700,MW-2300,0,AC-0500
521090,PH-0500,BS-1500,0,NB-0100
521101,BS-2400,BS-2400,0,XX-0000
521229,CP-2000,CR-0500,0,JF-3060
521358,JF-1900,CJ-0900,0,TC-2000
521395,MV-0300,AM-1200,0,XX-0000
521414,LM-1000,RL-0600,0,LW-0700
521645,EM-0200,AB-3400,0,XX-0000
521857,CH-2400,JW-1100,0,XX-0000
521912,CN-0500,JC-1800,0,XX-0000
522012,DB-3800,DB-3800,0,CJ-1300
522102,KK-1200,TW-3250,0,CJ-2050
522209,RW-3400,VW-0200,0,BS-3200
522218,DA-0900,JW-5300,30,PR-0200
522232,SB-1100,RS-0100,0,BO-0400
522373,DR-1450,DH-0700,0,LF-0300
522419,TR-0800,TR-0800,0,XX-0000
