PID,INT,YDS
518089,MB-2700,51
518205,JF-3060,4
518254,TJ-1000,17
518317,CC-4000,35
518367,TJ-1000,11
518396,CR-1150,1
518415,KC-1800,6
518432,DR-2800,0
518477,DR-2800,0
518484,LF-0550,10
518504,JH-0100,50
518514,DJ-0500,27
518554,KC-1800,7
518668,WM-1000,2
518677,SN-0500,3
518719,BS-1500,0
518724,DR-1100,1
518742,KW-2100,5
518797,AC-2400,40
518888,JJ-1550,34
518923,JD-3000,42
518935,CF-0500,31
519194,DG-1400,49
519220,RD-1500,1
519276,JJ-5000,36
519289,BC-3100,1
519299,KJ-0100,3
519419,TW-3250,0
519802,RB-0700,24
519814,AB-1800,0
519935,AW-1500,-2
519958,RS-1000,0
520169,NB-0400,11
520354,TP-2000,43
520484,ER-0100,34
520760,TW-2700,0
520793,CW-3700,0
520810,TW-2700,38
520822,TJ-1000,20
520840,JM-3750,0
520961,DJ-0500,4
521176,JB-8800,0
521356,BP-0900,0
521433,DR-3700,0
521473,ER-0100,9
521565,MF-1400,0
521584,BM-1100,40
521610,EW-1700,60
521651,CW-1200,0
521700,MB-2700,6
521888,CG-1400,9
522036,JB-2000,2
522053,PP-0400,0
522294,CF-0500,5
522329,LF-0300,0
522406,BB-3400,35
522551,EW-0400,8
522601,AV-0300,11
522853,RJ-2000,8
523046,DG-1300,20
523172,WM-1000,33
523181,TD-0900,15
523196,RM-1900,32
523416,JH-5450,0
523460,MB-2700,17
523480,SB-1800,44
523534,CF-0500,32
523632,MW-3600,45
523654,TJ-1000,-11
523816,LM-1100,9
523823,BS-1500,32
523927,PP-0800,13
524004,AT-0100,0
524030,SL-0500,0
524170,RM-0800,7
524246,LL-0200,18
524255,CC-2500,0
524379,RJ-0400,0
524648,JG-3600,28
524661,SR-1300,32
525096,JR-2750,24
525329,TD-0900,0
525370,TD-0900,-2
525379,AC-1000,3
525497,WW-0900,7
525601,RC-1300,26
525783,SG-1400,36
526143,CR-1150,0
526250,CW-2300,63
526327,JM-1900,0
526344,DM-1300,0
526451,DM-1300,34
526477,TW-3250,22
526503,EW-0400,21
526546,BF-0800,1
526562,DB-6300,21
526573,AC-1000,31
526684,HN-0100,21
526904,PW-1200,0
527180,RS-1000,29
527195,TJ-2250,4
527228,RM-2800,34
527297,BF-0600,2
527384,DM-0200,55
527437,KJ-0100,63
527689,SS-1700,31
527727,GT-0300,0
527760,SS-1700,0
527795,KR-0500,5
527811,KB-1600,10
527921,CC-5000,23
528001,DH-0700,13
528257,PR-0400,0
528434,DR-2800,14
528535,CT-1500,25
528564,MW-3600,0
528569,LB-0900,74
528603,DM-2800,0
528613,MW-3600,0
528741,PP-0400,0
528879,RS-2800,4
528957,RJ-2000,-3
529002,LW-0700,8
529067,BF-0800,29
529069,CW-2300,1
529216,JP-4100,0
529264,CH-2250,0
529383,SB-1700,46
529445,UY-0100,44
529455,CB-1600,0
529529,RK-0500,28
529636,DR-2600,4
529641,TD-0900,24
529844,AW-1800,6
529881,RJ-1300,2
529887,JB-0300,10
529977,DC-4000,0
530074,CT-1500,36
530112,LB-0900,36
530216,CM-3400,33
530224,LK-0600,-3
530380,CC-5300,4
530710,QJ-0100,9
530770,RH-0700,41
530822,AC-2400,0
530876,BM-0800,86
530946,KJ-0100,4
531032,JM-2800,0
531086,LT-0400,4
531134,MJ-1800,3
531226,JH-0100,14
531266,SB-1700,19
531297,UY-0100,0
531308,JH-5500,45
531319,MB-0650,12
531386,RB-0700,78
531654,NA-0200,0
531670,LD-0400,0
531764,CH-4200,0
531823,JH-1000,21
531841,MH-3700,0
531879,TB-2400,11
531957,AS-0100,79
532120,EL-0100,0
532209,CW-2300,0
532455,JB-8800,7
532461,PP-0400,15
532495,JB-8800,29
532609,RS-1000,0
532624,ET-0200,23
532709,PA-0300,0
532761,AR-1400,20
532770,AR-1400,22
532856,AW-1800,0
532951,MW-2000,24
533002,DH-0700,0
533140,SS-1300,0
533159,CH-2250,17
533175,CH-2250,20
533238,JL-1200,0
533244,QJ-0100,80
533310,TC-1000,15
533323,CH-1500,0
533337,CH-1500,46
533449,DG-1300,1
533458,BB-3400,4
533631,JM-2800,0
533651,RB-0700,30
534082,JW-5300,7
534088,SB-1800,41
534109,RJ-0400,0
534184,MC-1350,0
534404,CH-2250,0
534505,JJ-5000,52
534548,GQ-0100,0
534668,PL-0200,0
534707,SA-0100,0
534712,HS-0130,31
534855,AD-0930,0
535047,DC-4000,2
535213,CC-5000,0
535238,LW-1600,11
535478,DM-2800,2
535667,LJ-1150,0
535682,JN-1750,2
535751,TJ-1000,2
535811,TJ-1000,25
536280,CC-2500,29
536443,ET-0200,0
536449,RS-1100,26
536815,AD-0930,8
536830,TW-3250,45
537078,MG-1800,0
537145,SR-1300,17
537171,MG-0800,21
537287,PL-0100,4
537319,SB-1800,37
537327,CW-1200,38
537350,JP-2900,28
537432,DM-1400,0
537472,SB-1800,0
537542,WW-0900,8
537726,CC-5300,0
