UID,GID,PLAYER,PAT,FGS,FGM,FGL,FPTS
1,3189,LT-1100,2,1,0,0,5
2,3189,DB-0200,3,1,0,0,6
3,3190,AV-0400,3,0,0,0,3
4,3190,RG-1500,5,2,0,0,11
5,3191,PD-0200,1,1,2,0,12
6,3191,AH-2600,2,0,1,0,6
7,3192,MB-4600,4,3,1,0,17
8,3192,RS-3400,3,1,0,0,6
9,3193,NF-0300,6,2,0,0,12
10,3193,RL-0900,4,0,0,0,4
11,3194,GZ-2000,2,1,2,0,13
12,3194,JH-0900,3,0,2,0,11
13,3195,BC-3000,4,2,2,0,18
14,3195,GH-0600,3,1,0,0,6
15,3196,SG-1100,3,2,1,0,13
16,3196,DC-0500,1,1,0,0,4
17,3197,RB-2200,1,2,0,0,7
18,3197,SG-0800,4,2,0,0,10
19,3198,JS-1100,0,2,1,0,10
20,3198,BW-0350,2,2,1,1,17
21,3199,CB-0700,1,2,1,0,11
22,3199,JM-4000,1,1,0,0,4
23,3200,SH-0400,1,2,1,0,11
24,3200,JF-0900,2,2,0,0,8
25,3201,DA-0300,3,0,2,1,16
26,3201,MC-3000,2,0,0,0,2
27,3202,SS-3100,1,2,0,0,7
28,3202,MP-2100,2,1,0,0,5
29,3203,JT-3950,5,1,2,0,16
30,3203,MN-0800,1,2,0,0,7
31,3204,SJ-0300,0,1,0,1,8
32,3204,NK-0200,1,3,2,0,18
33,3205,MC-3000,2,1,1,1,14
34,3205,RG-1500,1,0,1,0,5
35,3206,MN-0800,4,2,0,0,10
36,3206,PD-0200,3,1,0,1,11
37,3207,RL-0900,5,0,0,0,5
38,3207,RS-3400,2,1,0,0,5
39,3208,BW-0350,2,1,0,1,10
40,3208,AV-0400,2,1,1,1,14
41,3209,AH-2600,3,1,0,0,6
42,3209,JT-3950,2,0,1,2,16
43,3210,LT-1100,3,4,0,0,15
44,3210,CB-0700,4,0,1,1,13
45,3211,SG-1100,3,2,0,0,9
46,3211,JS-1100,1,0,0,0,1
47,3212,GH-0600,3,1,0,1,11
48,3212,JM-4000,5,0,0,0,5
49,3213,JF-0900,2,1,1,0,9
50,3213,SG-0800,0,1,1,2,17
51,3214,BC-3000,4,0,0,0,4
52,3214,GZ-2000,2,2,1,0,12
53,3215,SH-0400,3,2,0,0,9
54,3215,DB-0200,1,0,0,0,1
55,3216,NK-0200,5,1,0,0,8
56,3216,RB-2200,1,1,0,0,4
57,3217,DC-0500,5,0,0,0,5
58,3217,SJ-0300,1,2,0,0,7
59,3218,SS-3100,3,0,2,0,11
60,3218,NF-0300,1,1,0,0,4
61,3219,DA-0300,3,1,1,0,10
62,3219,JH-0900,1,1,3,0,16
63,3220,MB-4600,3,1,1,0,10
64,3220,MP-2100,3,0,0,0,3
65,3221,LT-1100,3,3,2,0,20
66,3221,JM-4000,1,0,0,0,1
67,3222,RG-1500,2,2,0,1,13
68,3222,GZ-2000,0,0,1,1,9
69,3223,RL-0900,3,1,0,0,6
