PID,KICKER,KGRO,KNET,KTB,KR,KRY
518049,DB-0200,69,49,N,DW-4050,20
518094,LT-1100,67,45,N,FJ-0300,22
518115,DB-0200,67,35,N,DW-4050,32
518119,LT-1100,73,53,Y,XX-0000,0
518130,DB-0200,61,54,N,AB-3400,7
518141,LT-1100,70,45,N,FJ-0300,25
518150,DB-0200,69,47,N,AB-3400,22
518173,DB-0200,63,44,N,DW-4050,19
518187,LT-1100,53,39,N,FJ-0300,14
518195,PM-0300,67,49,N,DH-2700,18
518207,PM-0300,65,45,Y,XX-0000,0
518222,RG-1500,65,45,Y,XX-0000,0
518252,RG-1500,65,45,Y,XX-0000,0
518263,RG-1500,70,42,N,CV-0200,28
518271,PM-0300,68,37,N,DH-2700,31
518282,RG-1500,66,43,N,CV-0200,23
518290,RG-1500,65,45,Y,XX-0000,0
518300,RG-1500,71,56,N,LB-0850,15
518305,RG-1500,65,45,Y,XX-0000,0
518342,PM-0300,65,45,Y,XX-0000,0
518351,RG-1500,53,46,N,MM-4800,7
518371,PD-0200,57,39,N,SH-0450,18
518385,PD-0200,68,39,N,BB-2530,29
518409,AH-2600,70,31,N,JC-5600,39
518462,AH-2600,40,33,N,ES-1400,7
518466,AH-2600,71,52,N,JC-5600,19
518492,PD-0200,65,45,Y,XX-0000,0
518512,PD-0200,64,47,N,BB-2530,17
518516,PD-0200,65,45,Y,XX-0000,0
518553,AH-2600,68,35,N,JC-5600,33
518558,RS-3400,65,45,Y,XX-0000,0
518572,MB-3000,60,42,N,JA-2000,18
518584,RS-3400,66,-11,N,JR-2800,77
518590,MB-3000,66,41,N,JA-2000,25
518601,RS-3400,65,38,N,JR-2800,27
518611,MB-3000,74,54,Y,XX-0000,0
518621,RS-3400,73,53,Y,XX-0000,0
518633,MB-3000,52,36,N,TC-2500,16
518635,MB-3000,65,45,Y,XX-0000,0
518657,MB-3000,71,51,Y,XX-0000,0
518663,MB-3000,65,45,Y,XX-0000,0
518674,MB-3000,66,48,N,JA-2000,18
518682,MB-3000,73,55,N,JA-2000,18
518711,RS-3400,70,62,N,HD-0300,8
518712,JP-3850,70,46,N,JM-3600,24
518735,NF-0300,64,44,Y,XX-0000,0
518749,NF-0300,65,45,Y,XX-0000,0
518757,NF-0300,65,45,Y,XX-0000,0
518766,JP-3850,65,45,Y,XX-0000,0
518782,NF-0300,65,45,Y,XX-0000,0
518792,NF-0300,65,45,Y,XX-0000,0
518794,NF-0300,68,45,N,LM-1100,23
518799,NF-0300,65,45,Y,XX-0000,0
