PID,PSR,TRG,LOC,YDS
518050,EM-0200,HN-0500,DL,0
518051,EM-0200,VC-0300,SM,5
518052,EM-0200,VC-0300,SM,0
518056,TR-0800,FJ-0300,SL,0
518060,EM-0200,VC-0300,DL,26
518061,EM-0200,MB-1800,SM,9
518063,EM-0200,MB-1800,SR,10
518065,EM-0200,HN-0500,SL,8
518070,TR-0800,MA-1400,SM,9
518071,TR-0800,KO-0300,SR,14
518074,TR-0800,DB-5300,DL,0
518075,TR-0800,KO-0300,SL,9
518077,EM-0200,HN-0500,SR,10
518080,EM-0200,VC-0300,SR,4
518082,EM-0200,VC-0300,SM,11
518083,EM-0200,HN-0500,SR,0
518085,TR-0800,DB-5300,SM,18
518089,TR-0800,KO-0300,SM,0
518092,EM-0200,VC-0300,SM,0
518096,TR-0800,JH-0860,SL,10
518100,TR-0800,KO-0300,SL,9
518104,EM-0200,MB-1800,DR,0
518107,TR-0800,DB-5300,SL,13
518108,TR-0800,JW-6000,SL,3
518110,TR-0800,KO-0300,SR,0
518111,TR-0800,DB-5300,DR,38
518112,TR-0800,KO-0300,SR,5
518113,TR-0800,KO-0300,SM,10
518116,EM-0200,VC-0300,SL,0
518120,TR-0800,DM-4300,SR,9
518122,TR-0800,DM-4300,SL,0
518125,TR-0800,FJ-0300,SM,0
518126,TR-0800,DB-5300,SR,16
518127,TR-0800,JW-6000,SL,0
518128,TR-0800,KO-0300,DR,40
518131,EM-0200,DH-3200,SR,12
518133,EM-0200,MB-1800,SR,12
518134,EM-0200,AB-2600,SR,6
518135,EM-0200,HN-0500,SL,12
518137,EM-0200,HH-0400,SR,1
518138,EM-0200,DH-3200,DL,39
518142,TR-0800,JW-6000,SM,7
518144,TR-0800,JP-2800,SM,6
518148,TR-0800,KO-0300,SM,0
518152,EM-0200,VC-0300,SR,0
518155,EM-0200,BP-0200,SR,6
518160,TR-0800,KO-0300,SL,14
518162,TR-0800,MA-1400,DR,20
518166,TR-0800,MA-1400,SR,10
518171,TR-0800,MA-1400,DL,34
518174,EM-0200,AB-2600,SM,9
518175,EM-0200,DH-3200,SR,0
518177,EM-0200,MB-1800,SM,0
518178,EM-0200,VC-0300,DL,0
518179,EM-0200,HN-0500,SR,8
518180,EM-0200,VC-0300,SM,7
518181,EM-0200,DH-3200,DM,0
518182,EM-0200,DH-3200,SL,4
518183,EM-0200,VC-0300,SR,5
518185,EM-0200,MB-1800,SM,9
518191,TR-0800,KO-0300,SL,13
518199,JC-6200,AJ-0430,SR,0
518201,AL-1100,DJ-2650,SR,8
518203,AL-1100,RW-1100,SL,0
518205,JC-6200,MF-1300,SR,0
518209,JC-6200,ER-0450,SR,0
518210,JC-6200,BM-0300,SR,13
518211,JC-6200,MF-1300,SL,0
518213,JC-6200,KD-0400,DL,0
518214,JC-6200,BM-0300,DL,0
518216,JC-6200,AJ-0430,DL,0
518223,AL-1100,RW-1100,SM,8
518224,AL-1100,RW-1100,SL,0
518227,AL-1100,LB-0850,SR,10
518228,AL-1100,RW-1100,SL,0
518230,JC-6200,BM-0300,SL,0
518232,JC-6200,BM-0300,DR,0
518237,AL-1100,DB-4800,SR,0
518239,JC-6200,BM-0300,SL,7
518241,JC-6200,MF-1300,SL,1
518243,JC-6200,EB-0600,SL,10
518244,JC-6200,BM-0300,DL,16
518245,JC-6200,BM-0300,SL,0
518247,JC-6200,DH-2700,DR,29
518249,JC-6200,MF-1300,SR,31
518250,JC-6200,BM-0300,SR,3
518253,AL-1100,RW-1100,DL,17
518254,AL-1100,DA-2100,DR,0
518255,JC-6200,BM-0300,DM,24
518257,JC-6200,AJ-0430,SM,15
518260,JC-6200,BM-0300,SL,9
518264,AL-1100,RW-1100,DL,23
518267,AL-1100,RW-1100,SR,0
518268,AL-1100,RW-1100,SL,12
518272,JC-6200,KA-0300,DL,17
518273,JC-6200,BM-0300,DR,0
518274,JC-6200,MF-1300,SM,0
518275,JC-6200,EB-0600,SM,15
518277,JC-6200,BM-0300,SL,13
518278,JC-6200,EB-0600,DM,25
518283,AL-1100,CF-0650,SM,7
518284,AL-1100,RW-1100,SL,8
518285,AL-1100,CF-0650,SL,22
518286,AL-1100,CF-0650,DM,22
518287,AL-1100,DA-2100,DR,0
518292,AL-1100,CF-0650,SL,0
518293,AL-1100,KA-0250,SL,0
518296,JC-6200,AJ-0430,SR,23
518302,JC-6200,MF-1300,SR,8
518303,JC-6200,BM-0300,SM,0
518306,AL-1100,CF-0650,SL,5
518309,AL-1100,DB-4800,SL,0
518310,AL-1100,KA-0250,SR,13
518312,AL-1100,DA-2100,SL,0
518313,AL-1100,RW-1100,SM,19
518314,AL-1100,CF-0650,DM,24
518315,AL-1100,RW-1100,SR,0
518317,AL-1100,RW-1100,SR,0
518319,JC-6200,DH-2700,SL,-2
518322,AL-1100,CF-0650,SM,0
518326,JC-6200,EB-0600,DM,0
518327,JC-6200,BM-0300,SL,12
518330,AL-1100,RW-1100,SR,20
518332,AL-1100,RW-1100,DL,21
518334,AL-1100,CF-0650,DL,0
518335,AL-1100,DA-2100,SM,0
518336,AL-1100,KA-0250,SM,13
518337,AL-1100,RW-1100,SR,7
518338,AL-1100,DA-2100,SL,7
518339,AL-1100,RW-1100,SM,0
518340,AL-1100,DA-2100,SL,4
518344,JC-6200,BM-0300,DL,22
518349,JC-6200,AJ-0430,DM,42
518352,AL-1100,RW-1100,SM,0
518353,AL-1100,MM-4800,SL,11
518354,AL-1100,RW-1100,SR,0
518355,AL-1100,DA-2100,SM,0
518363,AL-1100,CF-0650,SR,2
518364,AL-1100,CF-0650,SR,0
518366,AL-1100,DA-2100,DL,26
518367,AL-1100,KA-0250,DR,0
518372,MV-0300,LM-1000,SL,-6
518373,MV-0300,BC-0700,SM,11
518376,MV-0300,DJ-0200,SL,15
518380,BW-0850,MM-1300,SL,24
518382,BW-0850,MM-1300,DR,0
518383,BW-0850,TB-1060,SR,0
518389,MV-0300,LM-1000,SL,10
518392,MV-0300,JA-2900,SR,5
518393,MV-0300,DJ-0200,DL,18
518396,MV-0300,BC-0700,SM,0
518398,BW-0850,AS-1700,SR,-1
518400,BW-0850,BW-0700,SL,3
518402,MV-0300,JM-0200,SL,9
518404,MV-0300,DJ-0200,DR,35
518406,MV-0300,DJ-0200,SL,0
518407,MV-0300,DJ-0200,DL,0
518411,BW-0850,TB-1060,SR,12
518414,BW-0850,TR-0350,SR,0
518415,BW-0850,GL-0400,SM,0
518416,MV-0300,JM-0200,SL,5
518417,MV-0300,DJ-0950,SR,0
518418,MV-0300,JM-0200,SL,3
518420,BW-0850,TR-0350,SR,0
518425,MV-0300,BC-0700,SL,0
518427,MV-0300,BC-0700,SL,9
518428,MV-0300,LM-1000,SL,0
518430,BW-0850,GL-0400,SR,0
518432,BW-0850,TB-1060,DR,0
518434,MV-0300,LM-1000,SR,7
518435,MV-0300,CH-1200,SR,10
518438,BW-0850,MM-1300,SL,4
518440,BW-0850,BJ-0300,SR,6
518441,BW-0850,OM-0200,DR,0
518442,BW-0850,JG-2450,SR,0
518443,BW-0850,MM-1300,DR,0
518446,MV-0300,JM-0200,SL,4
518448,MV-0300,DJ-0200,DR,0
518449,MV-0300,JM-0200,SL,0
518450,MV-0300,DJ-0950,SR,0
518454,BW-0850,OM-0200,SR,0
518456,MV-0300,LM-1000,SL,0
518457,MV-0300,LM-1000,SL,10
518458,MV-0300,LM-1000,SR,0
518459,MV-0300,JM-0200,DL,46
518460,MV-0300,JM-0200,DM,18
518463,BW-0850,TB-1060,DL,0
518464,BW-0850,JG-2450,SR,20
518468,BW-0850,JG-2450,SM,12
518471,BW-0850,MM-1300,SR,0
518473,MV-0300,CH-1200,SR,0
518475,MV-0300,JM-0200,DR,0
518477,BW-0850,TB-1060,DR,0
518479,MV-0300,CH-1200,SL,0
518480,MV-0300,DJ-0950,SL,10
518484,MV-0300,CH-1200,SM,0
518486,BW-0850,MM-1300,SL,13
518488,BW-0850,JG-2450,SL,0
518490,BW-0850,MM-1300,SM,0
518493,MV-0300,BC-0700,SL,0
518494,MV-0300,CH-1200,SM,2
518495,MV-0300,LM-1000,SM,6
518497,BW-0850,GL-0400,SR,0
518498,BW-0850,TB-1060,SR,0
518499,BW-0850,BJ-0300,SR,0
518501,MV-0300,BC-0700,DM,28
518502,MV-0300,DJ-0200,SL,0
518503,MV-0300,DJ-0200,SM,0
518504,MV-0300,JM-0200,SL,0
518505,BW-0850,TR-0350,SR,5
518509,BW-0850,BW-0700,SR,6
518510,BW-0850,JC-0400,SR,0
518514,MV-0300,JM-0200,SL,0
518521,MV-0300,JM-0200,SR,0
518522,MV-0300,JA-2900,SL,8
518524,MV-0300,LM-1000,SL,-1
518526,MV-0300,DJ-0200,DR,0
518530,BW-0850,BJ-0300,SR,14
518532,BW-0850,GL-0400,SL,0
518533,BW-0850,BJ-0300,SL,0
518535,MV-0300,BC-0700,DL,0
518536,MV-0300,JA-2900,SM,8
518537,MV-0300,JA-2900,SL,6
518540,MV-0300,DJ-0200,SL,9
518542,MV-0300,JM-0200,SL,11
518543,MV-0300,DJ-0200,DR,0
518544,MV-0300,JA-2900,SM,0
518547,MV-0300,JM-0200,DM,0
518548,MV-0300,BC-0700,SR,17
518550,MV-0300,JM-0200,SR,0
518551,MV-0300,CH-1200,SR,4
518554,BW-0850,MM-1300,DR,0
518561,MR-2500,TG-1300,SR,3
518562,MR-2500,JJ-4700,SM,25
518563,MR-2500,TG-1300,SR,0
518565,MR-2500,JJ-4700,SR,11
518566,MR-2500,JJ-4700,DL,0
518567,MR-2500,RW-2200,SL,15
518569,MR-2500,MP-0100,SR,6
518570,MR-2500,JJ-4700,SR,8
518574,MC-0700,SB-1400,SR,6
518576,MC-0700,TM-3000,SL,18
518577,MC-0700,DB-3200,SL,0
518579,MC-0700,DB-3200,DR,23
518580,MC-0700,SB-1400,SL,0
518582,MC-0700,PH-0500,SR,1
518588,MR-2500,HD-0300,SL,7
518593,MC-0700,TM-3000,SM,11
518596,MC-0700,DM-1200,SR,9
518597,MC-0700,DB-3200,DM,21
518599,MC-0700,KB-1500,DM,22
518603,MR-2500,RW-2200,SR,16
518604,MR-2500,RW-2200,SR,15
518606,MR-2500,JR-2800,SL,6
518607,MR-2500,TG-1300,SR,5
518608,MR-2500,RW-2200,SR,8
518609,MR-2500,JJ-4700,SL,14
518614,MC-0700,PH-0500,SR,3
518615,MC-0700,DM-1200,SL,9
518622,MR-2500,HD-0300,SR,0
518623,MR-2500,HD-0300,SL,19
518624,MR-2500,JJ-4700,DL,0
518625,MR-2500,TG-1300,SR,13
518628,MR-2500,TG-1300,SR,25
518630,MR-2500,RW-2200,SR,7
518631,MR-2500,RW-2200,SM,0
518640,MC-0700,DM-1200,SM,21
518642,MC-0700,DM-1200,SM,15
518644,MC-0700,PH-0500,SL,4
518645,MC-0700,DM-1200,SM,0
518647,MR-2500,LP-0600,SR,0
518649,MR-2500,JJ-4700,DL,31
518651,MR-2500,JJ-4700,SL,19
518654,MR-2500,JJ-4700,SR,0
