UID,PID,PTM,PEN,DESC,CAT,PEY,ACT
1,518057,NYG,JH-5450,Clipping,7,13,A
2,518062,NYG,VC-0300,False Start,1,5,A
3,518069,DAL,TS-2700,False Start,1,5,A
4,518072,DAL,JW-6000,False Start,1,5,A
5,518088,DAL,TR-0800,Delay of Game,3,5,A
6,518089,DAL,TS-2700,Horse Collar,7,1,A
7,518098,DAL,DF-1800,False Start,1,5,A
8,518106,DAL,TS-2700,False Start,1,5,A
9,518133,NYG,VC-0300,Illegal Block Above the Waist,7,10,A
10,518153,DAL,JH-2800,Roughing the Passer,6,15,A
11,518159,DAL,TR-0800,Delay of Game,3,5,A
12,518164,NYG,LJ-1700,Defensive Offside,4,5,A
13,518165,DAL,TS-2700,False Start,1,5,A
14,518167,DAL,DB-5300,Illegal Motion,3,5,A
15,518169,DAL,MB-2200,Illegal Use of Hands,2,10,A
16,518170,DAL,DF-1800,Offensive Holding,2,10,A
17,518180,DAL,DW-1100,Defensive Offside,4,0,D
18,518185,DAL,BC-1200,Defensive Pass Interference,5,0,D
19,518190,DAL,JW-6000,Offensive Holding,2,10,A
20,518197,CHI,GC-0300,False Start,1,2,A
21,518215,IND,JK-1300,Defensive Pass Interference,5,19,A
22,518218,IND,CV-0200,Defensive Pass Interference,5,0,A
23,518236,CHI,SM-1050,Neutral Zone,4,5,A
24,518246,CHI,CS-3100,Offensive Holding,2,10,A
25,518259,CHI,DH-2700,Offensive Pass Interference,2,10,A
26,518265,CHI,TJ-1000,Defensive Pass Interference,5,6,A
27,518275,IND,TZ-0100,Defensive Holding,5,0,D
28,518278,IND,JK-1300,Defensive Pass Interference,5,0,D
29,518279,IND,VD-0200,Defensive Pass Interference,5,0,A
30,518308,CHI,NR-0300,Illegal Contact,5,5,A
31,518358,CHI,KD-0400,Offensive Holding,2,10,A
32,518374,PHI,JM-0200,Offensive Pass Interference,2,10,A
33,518388,CLE,BW-2650,Neutral Zone,4,5,A
34,518390,PHI,EM-0400,Offensive Holding,2,10,A
35,518393,CLE,JH-0100,Defensive Pass Interference,5,0,D
36,518395,PHI,KD-1600,Offensive Holding,2,10,A
37,518399,PHI,JB-0100,Neutral Zone,4,5,A
