UID,GID,PLAYER,PA,PC,PY,INT,RA,SRA,RY,TRG,REC,RECY,FUML,PENY
1,3189,AB-2600,0,0,0,0,4,2,11,0,0,0,0,0
2,3189,EM-0200,3,2,14,0,0,0,0,0,0,0,0,0
3,3189,VC-0300,0,0,0,0,0,0,0,2,1,5,0,0
4,3189,TR-0800,3,2,15,0,1,1,9,0,0,0,0,0
5,3189,KO-0300,0,0,0,0,0,0,0,3,2,15,0,0
6,3189,DM-4300,0,0,0,0,1,1,4,0,0,0,0,0
7,3189,MB-1800,0,0,0,0,0,0,0,1,1,9,0,0
8,3190,JC-6200,4,2,11,0,0,0,0,0,0,0,0,0
9,3190,AJ-0430,0,0,0,0,0,0,0,1,0,0,0,0
10,3190,MF-1300,0,0,0,0,3,3,27,1,1,8,0,0
11,3190,MB-5200,0,0,0,0,3,2,2,0,0,0,0,0
12,3190,BM-0300,0,0,0,0,0,0,0,2,1,3,0,0
13,3190,DB-4800,0,0,0,0,2,2,25,0,0,0,0,0
14,3190,AL-1100,7,3,18,1,0,0,0,0,0,0,0,0
15,3190,DA-2100,0,0,0,0,0,0,0,3,2,11,0,0
16,3190,DH-2700,0,0,0,0,1,0,-4,0,0,0,0,0
17,3190,RW-1100,0,0,0,0,0,0,0,4,1,7,0,0
18,3191,BW-0850,4,1,6,1,0,0,0,0,0,0,0,0
19,3191,TR-0350,0,0,0,0,2,1,2,1,0,0,0,0
20,3191,GL-0400,0,0,0,0,0,0,0,1,0,0,0,0
21,3191,MV-0300,5,3,39,0,0,0,0,0,0,0,0,0
22,3191,JM-0200,0,0,0,0,0,0,0,3,1,18,0,0
23,3191,BW-0700,0,0,0,0,0,0,0,1,1,6,0,0
24,3191,JC-0400,0,0,0,0,0,0,0,1,0,0,0,0
25,3191,BC-0700,0,0,0,0,0,0,0,1,1,17,0,0
26,3191,BB-3350,0,0,0,0,1,0,-1,0,0,0,0,0
27,3191,CH-1200,0,0,0,0,0,0,0,1,1,4,0,0
28,3192,MT-2400,0,0,0,0,5,1,17,0,0,0,0,0
29,3192,MR-2500,9,6,48,0,1,1,5,0,0,0,0,5
30,3192,MP-0100,0,0,0,0,0,0,0,1,1,6,0,0
