PID,BC,DIR,YDS
518054,DM-4300,LG,3
518058,AB-2600,LT,2
518059,DW-4050,RT,3
518064,AB-2600,LT,3
518066,AB-2600,RT,2
518067,DW-4050,LE,1
518068,DM-4300,LT,2
518073,DM-4300,LG,5
518076,LV-0200,LG,0
518078,AB-2600,LE,3
518079,AB-2600,RG,5
518086,DM-4300,RE,-1
518087,TR-0800,MD,8
518090,AB-2600,RE,-2
518091,AB-2600,LT,-1
518095,DM-4300,RT,2
518097,DM-4300,RT,3
518099,DM-4300,LG,-3
518102,AB-2600,LG,0
518103,AB-2600,RE,2
518109,DM-4300,LG,9
518118,AB-2600,MD,5
518121,DM-4300,LG,2
518123,DM-4300,LT,9
518124,DM-4300,LE,4
518132,AB-2600,LG,2
518136,AB-2600,LE,5
518139,AB-2600,LT,10
518143,DM-4300,RE,48
518145,TR-0800,MD,9
518146,DM-4300,MD,4
518151,AB-2600,LT,5
518154,AB-2600,RT,0
518158,DM-4300,MD,5
518161,DM-4300,LT,5
518163,DM-4300,LT,9
518168,DM-4300,LT,15
518176,AB-2600,RG,33
518184,AB-2600,LT,4
518188,DM-4300,RT,1
518189,DM-4300,RT,7
518190,DM-4300,LE,2
518192,TR-0800,NL,-1
518193,TR-0800,NL,-1
518194,TR-0800,NL,-1
518198,MF-1300,LG,3
518202,DB-4800,RT,-2
518208,MF-1300,LT,0
518212,MF-1300,LE,32
518217,MF-1300,RT,15
518219,MB-5200,RT,0
518220,MB-5200,RT,1
518225,AL-1100,LG,3
518226,DB-4800,LG,-4
518231,MB-5200,LG,3
518234,VB-0050,LE,1
518235,VB-0050,LT,3
518240,MF-1300,RT,3
518242,MF-1300,LG,5
518248,MF-1300,LG,0
518256,MB-5200,LG,1
518258,MB-5200,LT,0
518261,MB-5200,RG,7
518266,DB-4800,LG,18
518269,DB-4800,LT,18
518276,MF-1300,LG,1
518280,MB-5200,LG,1
518289,JC-6200,NL,-1
518291,DB-4800,RE,1
518295,MB-5200,RE,20
518297,MF-1300,LG,6
518298,MF-1300,LT,6
518301,DH-2700,LE,-4
518307,DB-4800,RG,-3
518311,DB-4800,LE,0
518316,DB-4800,RG,7
518318,MF-1300,RT,-1
518323,DB-4800,RT,13
518325,MF-1300,LE,-3
518329,AL-1100,RE,6
518331,VB-0050,LG,2
518333,VB-0050,LE,0
518343,MF-1300,RG,1
518345,MF-1300,RE,3
518346,MF-1300,LG,6
518347,MB-5200,LT,3
518348,MF-1300,RT,3
518359,MB-5200,LT,3
518360,MB-5200,RT,-3
518361,MB-5200,RT,6
518368,JC-6200,NL,-1
518369,JC-6200,NL,-1
518370,JC-6200,NL,-1
518375,MV-0300,MD,16
518377,DJ-0200,RE,5
518378,LM-1000,LE,-6
518379,TR-0350,RG,1
518381,TR-0350,LG,1
518386,MV-0300,MD,-5
518387,LM-1000,LT,9
518391,LM-1000,RG,4
518397,TR-0350,RT,2
518403,LM-1000,RG,9
518405,LM-1000,LT,2
518410,TR-0350,LG,5
518412,TR-0350,LG,1
518413,TB-1060,LE,35
518421,TR-0350,LG,9
518422,TR-0350,LG,-1
518424,MV-0300,RG,11
518431,TR-0350,LT,-1
518439,TR-0350,MD,0
518445,LM-1000,RG,10
518447,LM-1000,LT,22
518452,TR-0350,LG,3
518453,TR-0350,LG,5
518465,BW-0850,LE,25
518467,TR-0350,RG,1
518470,TR-0350,LG,5
518474,LM-1000,LG,-5
518478,LM-1000,RT,0
518481,LM-1000,RT,6
518482,LM-1000,LT,3
518483,LM-1000,LT,1
518485,BW-0850,MD,-3
518489,TR-0350,LT,1
518506,TR-0350,RG,5
518508,TR-0350,LG,-3
518517,LM-1000,RT,15
518518,LM-1000,RT,5
518519,LM-1000,LT,7
518520,BB-3350,RG,4
518523,LM-1000,RT,13
518525,LM-1000,RT,2
518528,TR-0350,LG,4
518529,TR-0350,RG,2
518531,TR-0350,RG,-1
518538,LM-1000,RG,3
518541,LM-1000,LT,7
518545,MV-0300,LE,9
518546,LM-1000,RT,3
518549,BB-3350,RG,-1
518555,MV-0300,NL,-1
518556,MV-0300,NL,-1
518557,MV-0300,NL,-1
518559,MT-2400,RG,6
518560,MT-2400,MD,2
518564,MT-2400,MD,2
518568,MT-2400,RG,2
518573,PH-0500,RT,3
518575,JC-2300,MD,2
518578,JC-2300,LG,1
518581,JC-2300,RT,2
518585,MT-2400,MD,4
518586,MT-2400,LT,2
518591,JC-2300,LE,-1
518592,PH-0500,LE,7
518594,JC-2300,RG,11
518598,SD-0800,MD,4
518602,JR-2800,RT,3
518605,JR-2800,MD,6
518612,JC-2300,RE,46
518613,PH-0500,MD,3
518616,JC-2300,LE,9
518617,JC-2300,LT,2
518618,PH-0500,MD,3
518619,MC-0700,MD,5
518626,MR-2500,MD,11
518627,MR-2500,RE,9
518634,MC-0700,NL,-1
518636,JC-2300,RT,4
518637,JC-2300,MD,5
518638,MC-0700,MD,3
518639,PH-0500,RE,1
518641,JC-2300,MD,3
518643,PH-0500,MD,2
518648,MT-2400,MD,-1
518650,MT-2400,MD,2
518652,MT-2400,MD,11
518653,MT-2400,MD,3
518655,MR-2500,RE,5
518658,JC-2300,MD,-5
518665,PH-0500,LE,-3
518667,SD-0800,MD,1
518670,MT-2400,LT,-1
518675,JC-2300,LE,-4
518676,MC-0700,MD,13
518678,JR-2800,MD,2
518680,JR-2800,RE,-1
