UID,PID,QB,SK,VALUE,YDSL
1,518055,TR-0800,RB-2000,1,-8
2,518081,EM-0200,DW-1100,1,-15
3,518117,EM-0200,DW-1100,1,-6
4,518147,TR-0800,LJ-1700,1,-9
5,518156,EM-0200,JH-2800,1,-5
6,518196,JC-6200,RM-1400,1,-12
7,518320,JC-6200,RM-1400,1,-7
8,518324,AL-1100,CW-3800,1,-4
9,518356,AL-1100,HM-0100,1,-9
10,518365,AL-1100,HM-0100,1,-7
11,518394,MV-0300,LF-0550,1,-1
12,518433,MV-0300,TW-0600,1,-10
13,518469,BW-0850,JB-0100,1,-7
14,518487,BW-0850,FC-0400,1,-7
15,518595,MC-0700,SW-0700,1,-8
16,518629,MR-2500,JH-5500,1,-7
17,518660,MC-0700,JA-0100,1,-9
18,518664,MC-0700,JB-0200,1,-1
19,518930,SB-1100,NF-0100,1,-5
20,518949,SB-1100,NS-0800,1,-12
21,518953,MS-4100,RQ-0200,1,-9
22,518983,SB-1100,CW-2900,1,-8
23,519030,SB-1100,CA-1300,1,0
24,519044,RG-1850,BB-3800,0.5,-5
25,519044,RG-1850,SS-1100,0.5,-5
26,519084,DB-3800,DH-0700,1,-7
27,519173,DB-3800,RK-0500,1,-6
28,519191,RG-1850,PR-0400,1,-9
29,519238,MS-0200,RS-2800,1,-4
30,519275,RT-0150,JW-1100,1,-3
31,519279,MS-0200,RS-2800,1,-8
32,519332,RT-0150,JW-1100,0.5,-8
33,519332,RT-0150,AS-2400,0.5,-8
34,519377,RT-0150,TJ-0900,1,-12
35,519423,TB-2300,KW-2200,1,-8
36,519427,JL-2300,CJ-2050,1,-6
37,519453,JL-2300,JC-6000,1,-7
38,519637,CP-2000,TK-0800,1,-4
39,519648,CP-2000,TA-0600,1,0
40,519657,BG-0100,EH-0600,1,-7
41,519680,BG-0100,CC-4200,1,-11
42,519777,CN-0500,RB-0700,1,-2
43,519800,JF-3100,DE-0500,1,-7
44,519807,JF-3100,DE-0500,1,-3
45,519833,CN-0500,GM-0500,1,-8
46,519835,CN-0500,MB-1900,1,-2
47,519892,RW-3850,PL-0200,1,-5
48,519996,JS-3700,CC-2600,1,-6
49,520013,RW-3850,PL-0200,1,-8
50,520022,RW-3850,DW-1300,1,-1
51,520035,AS-1600,CM-0900,1,-5
52,520039,AR-1300,AS-1500,1,-10
53,520046,AR-1300,CR-1300,1,-7
54,520124,AS-1600,CW-3700,1,-3
55,520145,AS-1600,CM-0900,0.5,-5
56,520145,AS-1600,CW-3700,0.5,-5
57,520185,AS-1600,CM-0900,1,-7
58,520196,AR-1300,AB-3100,1,-7
59,520209,PM-0200,LF-0500,1,-5
60,520224,BR-1100,DW-4250,1,-9
61,520229,PM-0200,JW-6500,1,-8
62,520309,BR-1100,JM-2000,0.5,-7
63,520309,BR-1100,CH-1500,0.5,-7
64,520357,BR-1100,VM-0300,1,-5
65,520359,BR-1100,VM-0300,1,-10
66,520360,BR-1100,WW-0900,1,-5
67,520367,JF-1900,GA-0400,1,-7
68,520416,AD-0100,HN-0300,1,-3
69,520424,JF-1900,TH-2800,1,-6
70,520489,AD-0100,RL-0600,1,0
71,520499,AD-0100,HN-0300,1,-13
72,520502,AD-0100,PM-0500,0.5,-12
73,520502,AD-0100,CU-0050,0.5,-12
74,520505,JF-1900,GA-0400,1,-8
