PID,PTS
518093,3
518113,7
518128,7
518139,7
518149,3
518171,7
518185,7
518205,-7
518220,7
518250,7
518262,3
518269,7
518280,7
518298,7
518304,3
518340,7
518349,7
518384,3
518408,3
518460,7
518491,3
518511,3
518514,-7
518551,7
518570,7
518583,3
518589,3
518599,7
518609,7
518619,7
518632,3
518655,7
518661,7
518673,3
518681,3
518709,7
518733,7
518747,7
518755,7
518764,7
518781,3
518791,3
518797,-7
518808,7
518820,7
518846,7
518858,7
518869,7
518899,3
518914,7
518931,3
518935,-7
518942,3
518956,3
518994,7
519001,7
519016,3
519026,7
519047,3
519055,7
519058,7
519078,7
519092,3
519107,7
519120,7
519136,3
519153,3
519169,3
519186,8
519195,7
519208,7
519249,3
519281,3
519296,7
519302,7
519308,7
519316,7
519329,3
519346,3
519394,3
519411,7
519427,-7
519448,7
519470,7
519494,7
519514,3
519527,3
519538,3
519566,3
519592,6
519612,7
519627,7
519641,3
519653,3
519664,3
519675,3
519693,8
519698,3
519707,3
519732,7
519743,3
519768,3
519794,7
519831,3
519848,3
519874,3
519889,3
519911,7
519949,3
519955,7
519963,3
519994,3
520008,7
520057,3
520078,7
520095,7
520108,3
520118,3
520133,7
520162,8
520170,7
520179,7
520244,3
520257,7
520275,7
520299,3
520302,7
520318,6
520330,8
520350,3
520354,-6
520368,3
520385,7
520402,3
520408,7
520438,7
520454,3
520466,7
520480,3
520484,-7
520492,7
520520,3
520549,3
520559,3
520584,7
520601,3
520624,3
520634,3
520648,3
520665,3
520680,8
520731,3
520753,7
520767,3
520781,3
520808,3
520811,7
520826,7
520851,7
520863,3
520894,7
520902,7
520914,3
520938,7
520966,7
520976,7
520986,7
521000,3
521010,3
521041,7
521054,7
521076,7
521111,3
521117,7
521124,7
521150,7
521165,7
521191,3
521206,7
521217,3
521239,3
521252,7
521273,3
521317,7
521336,7
521343,3
521366,7
521375,7
521399,7
521426,3
521439,7
521456,3
521485,3
521504,3
521515,7
521534,3
521542,3
521556,3
521568,7
521586,7
521598,7
521610,-7
521619,3
521648,3
521660,3
521671,8
521681,7
521688,7
521695,7
521715,3
521741,7
521765,7
521804,7
521824,7
521850,3
521877,7
521888,-7
521901,3
521923,3
521932,7
521946,7
521968,7
521995,7
522003,7
522028,7
522051,3
522058,3
522071,3
522094,3
522127,3
522140,7
522165,7
522186,3
522202,6
522218,-7
522233,3
522255,7
522273,3
522278,7
522287,7
522299,3
522311,7
522322,7
522337,8
522390,3
522395,7
522426,7
522450,3
522484,7
522509,7
522547,7
522557,7
522573,3
522597,3
522641,7
522646,7
522660,7
522679,7
522698,7
522721,7
522770,3
522790,7
522802,7
522819,3
522829,7
522844,7
522871,3
522882,7
522893,3
522908,3
522928,7
522946,7
522994,7
523020,7
523032,3
523037,3
523053,7
523103,3
523114,3
523125,3
523136,3
523150,7
523163,7
523175,7
523188,3
523225,3
523238,7
523257,7
523278,7
523309,7
523334,7
523352,7
523371,3
523387,7
523408,3
523427,3
523441,7
523453,3
523468,7
523491,3
523511,3
523564,7
523577,3
523601,3
523627,3
523632,-7
523651,3
523671,7
523681,7
523723,7
523751,3
523778,7
523800,7
523841,3
523850,7
523899,7
523910,7
523934,3
523955,3
523989,3
523991,6
524012,7
524034,7
524067,3
524128,3
524148,3
524160,3
524178,7
524218,3
524236,3
524246,-7
524276,7
524287,3
524325,7
524340,3
524367,3
524369,7
524379,-7
524401,7
524435,3
524440,7
524451,3
524463,7
524479,7
524500,7
524512,7
524527,7
524550,7
524566,3
524577,3
524604,3
524629,7
524650,7
524653,7
524669,3
524686,3
524697,-2
524712,3
524739,3
524749,3
524762,3
524773,3
524778,7
524787,7
524802,3
524823,3
524847,7
524869,3
524881,8
524883,7
524893,7
524903,-7
524913,7
524917,7
524933,3
524960,7
524988,3
525000,7
525023,3
525029,3
525043,7
525060,7
525117,3
525138,7
525161,7
525185,-7
525206,3
525219,3
525247,3
525270,6
525324,7
525333,7
525352,3
525387,7
525417,-2
525428,3
525434,7
525460,7
525468,7
525479,3
525502,3
525521,3
525543,7
525563,7
525587,7
525608,7
525613,7
525627,7
525669,7
525680,3
525691,7
525703,7
525714,7
525729,7
525744,3
525763,3
525781,3
525786,7
525804,3
525820,7
525840,7
525853,7
525865,7
525879,7
525904,3
525931,7
525951,3
526010,7
526042,3
526061,3
526083,6
526110,7
526156,6
526169,3
526189,7
526222,7
526232,3
526250,-7
526260,3
526282,3
526319,7
526356,7
526374,7
526398,7
526408,7
526422,7
526434,7
526445,7
526453,7
526466,7
526474,7
526481,3
526498,7
526508,3
526513,7
526541,3
526552,6
526562,-7
526589,7
526624,7
526633,7
526644,3
526665,7
526692,7
526701,3
526709,7
526727,7
526748,7
526763,7
526790,7
526801,3
526823,3
526862,7
526899,3
526930,7
526939,-7
526955,3
526965,7
526979,7
526986,3
527011,3
527032,3
527048,3
527062,7
527128,7
527155,7
527168,3
527209,7
527220,3
527225,3
527247,3
527261,3
527277,3
527307,7
527332,7
527351,7
527384,-7
527401,7
527431,3
527437,-7
527449,7
527465,7
527476,3
527492,3
527528,3
527544,7
527554,7
527565,7
527584,3
527603,3
527657,3
527682,7
527692,3
527709,7
527752,7
527761,8
527782,7
527802,3
527826,3
527840,7
527860,7
527875,7
527908,3
527917,7
527925,3
527977,3
527986,7
528009,7
528017,7
528028,3
528076,7
528093,6
528117,3
528126,3
528143,7
528157,7
528172,7
528198,7
528214,7
528235,3
528251,7
528268,3
528287,7
528385,7
528397,3
528409,3
528418,7
528428,3
528445,3
528451,7
528465,3
528531,3
528535,-7
528546,7
528555,7
528569,-7
528581,3
528593,3
528609,7
528628,8
528637,7
528657,3
528681,3
528763,7
528811,3
528834,3
528856,7
528883,7
528896,3
528917,7
528992,3
529025,3
529059,3
529078,3
529103,3
529144,7
529158,7
529180,3
529186,7
529221,7
529235,3
529253,6
529277,3
