UID,PID,TCK,VALUE
1,518051,SL-0500,1
2,518054,CB-1600,1
3,518058,JP-4175,0.5
4,518058,JH-2800,0.5
5,518059,SL-0500,0.5
6,518059,DW-1100,0.5
7,518060,GS-0900,1
8,518061,BC-0600,1
9,518063,BC-0600,0.5
10,518063,SL-0500,0.5
11,518064,SL-0500,0.5
12,518064,DW-1100,0.5
13,518065,MC-1350,1
14,518066,DW-1100,0.5
15,518066,SL-0700,0.5
16,518067,SL-0500,1
17,518068,LJ-1700,0.5
18,518068,RB-2000,0.5
19,518070,KR-0900,0.5
20,518070,JH-5450,0.5
21,518071,KP-0600,0.5
22,518071,JW-3600,0.5
23,518073,KR-0900,1
24,518075,MC-1800,0.5
25,518075,AR-1400,0.5
26,518076,KR-0900,0.5
27,518076,AR-1400,0.5
28,518077,MC-1350,1
29,518078,AS-3100,0.5
30,518078,SL-0700,0.5
31,518079,JH-2800,1
32,518080,OS-0200,1
33,518082,SL-0500,1
34,518085,CB-1600,1
35,518086,KR-0900,1
36,518087,JT-3800,1
37,518090,AS-3100,1
38,518091,JP-4175,0.5
39,518091,MS-3500,0.5
40,518095,KR-0900,0.5
41,518095,MC-1800,0.5
42,518096,KR-0900,1
43,518097,RB-2000,0.5
44,518097,JP-2900,0.5
45,518099,JP-2900,1
46,518100,MC-1800,1
47,518102,BC-0600,1
48,518103,KC-1700,0.5
49,518103,AS-3100,0.5
50,518108,CB-1600,0.5
51,518108,MC-1800,0.5
52,518109,KP-0600,1
53,518111,KP-0600,1
54,518112,JW-3600,1
55,518118,AS-3100,1
56,518120,JT-3800,0.5
57,518120,MK-0900,0.5
58,518121,JP-2900,0.5
59,518121,JW-3600,0.5
60,518122,AR-1400,1
61,518123,AR-1400,0.5
62,518123,JW-3600,0.5
63,518124,AR-1400,1
64,518126,AR-1400,1
65,518131,BC-0600,1
66,518132,JH-2800,1
67,518133,AS-3100,0.5
68,518133,BC-1200,0.5
69,518134,SL-0500,1
70,518135,MC-1350,1
71,518136,GS-0900,1
72,518137,AS-3100,1
73,518138,MS-1600,1
74,518142,JW-3600,1
75,518143,AR-1400,1
76,518144,CB-1600,1
77,518145,MC-1800,1
78,518146,CB-1600,0.5
79,518146,KR-0900,0.5
80,518151,MS-3500,1
81,518154,BC-0600,1
82,518155,SL-0500,1
83,518158,JT-3700,0.5
84,518158,MK-1700,0.5
85,518160,AR-1400,0.5
86,518160,JT-3700,0.5
87,518161,JT-3800,0.5
88,518161,MB-2700,0.5
89,518162,CW-1200,1
90,518163,AR-1400,1
91,518166,OU-0100,1
92,518168,CW-1200,1
93,518174,JH-2800,0.5
94,518174,OS-0200,0.5
95,518176,SL-0500,1
96,518179,MC-1350,1
97,518180,SL-0500,1
98,518182,SL-0500,1
99,518183,BC-0500,1
100,518184,AS-3100,0.5
101,518184,SL-0500,0.5
102,518188,JT-3800,0.5
103,518188,JP-2900,0.5
104,518189,CB-1600,1
105,518190,KP-0600,1
106,518191,JT-3700,1
107,518198,JK-1300,0.5
108,518198,MF-1200,0.5
109,518201,LB-0900,1
110,518202,II-0100,1
111,518208,KC-2200,1
112,518210,VD-0200,1
113,518212,AB-1500,1
114,518217,TZ-0100,1
115,518219,MH-1450,1
116,518223,BU-0200,1
117,518225,HM-0100,1
118,518226,HM-0100,1
119,518227,MW-3600,1
120,518231,RM-1400,1
121,518234,LB-0900,1
122,518235,JP-2000,1
123,518239,JP-4100,1
124,518240,AB-1500,1
125,518241,TZ-0100,1
126,518242,AB-1500,1
127,518243,RM-1400,1
128,518244,AB-1500,1
129,518247,JF-3060,1
130,518248,KC-2200,1
131,518249,TZ-0100,1
132,518253,KH-1000,1
133,518255,AB-1500,1
134,518256,DN-0600,1
135,518257,VD-0200,1
136,518258,KC-2200,1
137,518260,JP-4100,1
138,518261,AB-1500,1
139,518264,CC-4000,1
140,518266,MW-3600,0.5
