TID,GID,TNAME,PTS,1QP,2QP,3QP,4QP,RFD,PFD,IFD,RY,RA,PY,PA,PC,SK,INT,FUM,PU,GPY,PR,PRY,KR,KRY,IR,IRY,PEN,TOP,TD,TDR,TDP,TDT,FGM,FGAT,FGY,RZA,RZC,BRY,BPY,SRP,S1RP,S2RP,S3RP,SPP,S1PP,S2PP,S3PP,LEA,LEY,LTA,LTY,LGA,LGY,MDA,MDY,RGA,RGY,RTA,RTY,REA,REY,R1A,R1Y,R2A,R2Y,R3A,R3Y,QBA,QBY,SLA,SLY,SMA,SMY,SRA,SRY,DLA,DLY,DMA,DMY,DRA,DRY,WR1A,WR1Y,WR3A,WR3Y,TEA,TEY,RBA,RBY,SGA,SGY,P1A,P1Y,P2A,P2Y,P3A,P3Y,SPC,MPC,LPC,Q1RA,Q1RY,Q1PA,Q1PY,LCRA,LCRY,LCPA,LCPY,RZRA,RZRY,RZPA,RZPY,SKY,LBS,DBS,SFPY,DRV,NPY,TB,I20,RTD,LNR,LNP,LBR,LBP,DBR,DBP,NHA,S3A,S3C,L3A,L3C,STF,DP,FSP,OHP,PBEP,DLP,DSP,DMP,PFN
1,3189,DAL,24,0,7,10,7,5,12,1,146,23,290,29,22,2,1,0,2,108,3,3,3,61,0,0,86,34,3,0,3,0,1,1,33,3,2,63,132,14,5,7,2,19,8,8,3,2,6,5,40,6,16,4,26,0,0,4,13,2,39,12,47,8,87,3,6,2,17,10,71,8,50,6,54,2,34,0,0,3,98,9,158,11,114,5,26,4,9,15,118,11,102,12,105,8,83,3,13,6,4,10,6,24,7,44,5,91,2,13,4,6,17,0,0,209,9,103,0,1,0,6.5,1.5,7.5,7,9,9.5,0,4,3,6,1,3,0,5,3,3,1,1,1,0
2,3189,NYG,17,0,3,7,7,3,11,1,82,19,187,32,21,3,0,1,4,201,1,5,5,100,1,51,33,26,2,1,1,0,1,1,22,3,2,43,65,6,3,1,2,15,6,5,4,3,9,6,23,2,2,1,5,2,38,3,5,2,0,11,30,5,10,3,42,0,0,4,24,9,50,13,74,4,65,1,0,1,0,17,96,5,55,7,46,3,16,26,171,11,46,13,57,11,84,5,14,2,7,19,9,72,1,0,3,1,4,11,3,14,26,2,0,261,9,178,1,1,0,6.5,0.5,10.5,10.5,1,9,5,4,4,5,0,6,0,1,0,0,1,0,0,2
3,3190,IND,21,7,7,0,7,4,16,2,63,15,293,45,23,3,3,2,5,257,2,12,4,73,1,4,19,24.5,3,1,1,1,0,1,0,4,2,49,158,6,3,2,1,22,10,9,3,3,1,2,21,4,19,0,0,2,4,2,11,2,7,9,42,5,18,1,3,2,9,14,69,9,47,12,60,5,87,2,46,3,0,8,37,23,171,10,82,4,19,32,163,22,145,15,106,11,42,3,11,9,5,1,7,26,0,0,0,0,2,25,7,18,16,0,0,347,12,214,1,2,0,8,0,2,5,4,17,3,2,1,5,1,5,7,0,0,0,0,5,0,0
4,3190,CHI,41,7,17,10,7,8,15,3,118,29,314,35,21,2,1,0,5,208,1,23,2,49,3,63,48,35.5,5,3,2,0,2,2,61,6,4,67,196,12,5,6,1,16,7,6,3,3,25,5,12,9,26,0,0,2,8,8,24,2,23,16,31,10,71,3,16,0,0,10,50,4,30,8,78,6,55,4,91,3,29,17,146,9,130,2,17,7,40,18,166,16,104,13,167,8,43,3,7,11,8,57,13,9,0,0,0,0,7,25,4,11,19,2,0,433,15,176,1,0,0,2,0,14.5,2,9.5,17,3,1,1,9,2,9,0,1,3,0,1,2,0,0
5,3191,PHI,17,0,10,0,7,10,14,1,153,27,306,56,29,2,4,1,6,330,1,6,3,64,4,13,110,36,2,0,2,0,1,2,42,2,2,87,109,17,8,6,3,20,9,5,6,2,3,7,51,1,-5,2,11,7,40,7,44,1,5,14,72,9,48,4,29,0,0,25,102,8,27,11,43,4,64,3,46,5,35,25,173,8,37,14,81,9,26,40,251,25,116,18,115,15,75,8,14,7,7,39,12,96,11,67,16,62,1,-1,5,39,11,1,1,365,16,252,0,1,0,8.5,2.5,8.5,6.5,9,17,5,4,4,13,4,5,0,1,7,0,2,1,2,1
6,3191,CLE,16,3,0,3,10,3,7,2,99,22,111,35,12,2,4,0,7,308,6,78,4,98,4,88,35,24,1,0,0,1,3,3,107,2,0,60,44,7,3,4,0,10,2,6,2,2,60,2,0,10,29,2,-3,5,8,1,2,0,0,12,36,9,61,1,-1,2,22,7,44,3,12,18,62,1,0,0,0,6,0,16,73,6,12,4,8,9,25,18,79,13,-5,12,86,12,23,4,6,2,3,4,5,26,3,5,6,20,2,2,4,6,7,0,0,559,15,282,1,3,0,10.5,0,6.5,4,4,8,0,3,1,6,0,6,7,0,0,0,1,2,2,0
7,3192,ATL,40,10,10,14,6,4,17,0,84,23,292,31,23,1,0,0,1,52,0,0,3,112,2,5,12,28,4,1,3,0,4,4,126,7,4,22,107,9,7,1,1,21,6,11,4,1,1,2,1,0,0,12,49,3,11,2,9,3,13,14,66,6,13,3,5,3,25,8,86,4,39,15,117,4,57,0,0,0,0,17,195,4,32,7,59,3,13,15,135,12,85,13,147,7,60,2,12,9,6,18,9,75,0,0,0,0,6,22,10,41,7,1,0,400,9,38,0,0,0,8.5,1,11,5,2.5,13,12,3,2,3,2,5,0,1,1,0,0,0,1,0
8,3192,KC,24,3,14,0,7,9,13,0,153,32,241,33,21,3,2,1,1,47,1,14,5,95,0,0,25,32,3,2,1,0,1,2,39,2,2,84,111,16,7,6,3,15,2,5,8,6,22,1,2,1,1,16,52,1,11,4,15,3,44,18,84,11,55,3,8,3,21,12,51,8,75,7,42,0,0,2,43,4,47,14,112,6,53,8,73,5,20,32,252,10,26,13,89,13,126,4,9,8,6,14,7,59,0,0,0,0,5,23,3,11,17,1,0,210,10,47,0,1,0,8,0,9.5,7.5,12.5,12.5,28,5,4,8,5,7,0,0,0,0,0,0,2,1
9,3193,BUF,28,0,7,7,14,6,13,1,196,25,195,32,18,0,3,1,2,81,1,27,3,71,1,0,34,28.5,4,1,3,0,0,0,0,2,2,119,80,13,8,5,0,15,2,6,7,4,5,4,53,2,9,8,71,2,11,3,10,2,12,15,95,10,76,0,0,0,0,11,28,3,52,12,64,1,30,2,21,3,0,22,127,0,0,7,43,3,25,34,285,11,54,11,46,10,95,3,12,3,5,15,6,24,0,0,0,0,3,4,2,11,0,0,0,290,12,13,0,0,0,4.5,0,12,2,7.5,13,1,1,1,5,2,4,0,3,2,1,0,1,0,0
10,3193,NYJ,48,7,20,14,7,5,15,1,118,36,266,26,19,0,1,0,2,103,1,68,1,24,3,46,34,31.5,6,1,3,1,2,2,64,5,3,26,106,14,7,4,3,18,4,7,7,6,10,5,12,1,3,13,41,3,13,7,36,1,3,20,59,12,39,4,20,0,0,6,38,4,61,11,86,3,60,1,0,1,21,14,157,5,53,5,40,2,16,21,133,6,58,10,118,10,90,2,9,8,10,36,9,67,0,0,0,0,9,33,3,34,0,0,0,316,9,76,0,1,1,8.5,0,17,3,7.5,11,2,3,3,8,4,8,7,1,1,2,0,0,2,0
