"","Game","Date","Winning.team","Score","Losing.team","Venue","City","Attendance","Ref","Winner.score","Loser.score"
"1","I","15-Jan-67","GreenBayPackers","35_10","KansasCityChiefs","Los Angeles Memorial Coliseum","Los Angeles, California[note 1]","61,946","[5]",35,10
"2","II","14-Jan-68","GreenBayPackers","33_14","OaklandRaiders","Orange Bowl","Miami, Florida[note 2]","75,546","[6]",33,14
"3","III","12-Jan-69","NewYorkJets","16_7","BaltimoreColts","Orange Bowl (2)","Miami, Florida (2)[note 2]","75,389","[7]",16,7
"4","IV","11-Jan-70","KansasCityChiefs","23_7","MinnesotaVikings","Tulane Stadium","New Orleans, Louisiana","80,562","[8]",23,7
"5","V","17-Jan-71","BaltimoreColts","16_13","DallasCowboys","Orange Bowl (3)","Miami, Florida (3)[note 2]","79,204","[9]",16,13
"6","VI","16-Jan-72","DallasCowboys","24_3","MiamiDolphins","Tulane Stadium (2)","New Orleans, Louisiana (2)","81,023","[10]",24,3
"7","VII","14-Jan-73","MiamiDolphins","14_7","WashingtonRedskins","Los Angeles Memorial Coliseum (2)","Los Angeles, California (2)[note 1]","90,182","[11]",14,7
"8","VIII","13-Jan-74","MiamiDolphins","24_7","MinnesotaVikings","Rice Stadium","Houston, Texas","71,882","[12]",24,7
"9","IX","12-Jan-75","PittsburghSteelers","16_6","MinnesotaVikings","Tulane Stadium (3)","New Orleans, Louisiana (3)","80,997","[13]",16,6
"10","X","18-Jan-76","PittsburghSteelers","21_17","DallasCowboys","Orange Bowl (4)","Miami, Florida (4)[note 2]","80,187","[14]",21,17
"11","XI","9-Jan-77","OaklandRaiders","32_14","MinnesotaVikings","Rose Bowl","Pasadena, California (3)[note 1]","103,438","[15]",32,14
"12","XII","15-Jan-78","DallasCowboys","27_10","DenverBroncos","Louisiana Superdome","New Orleans, Louisiana (4)","76,400","[16]",27,10
"13","XIII","21-Jan-79","PittsburghSteelers","35_31","DallasCowboys","Orange Bowl (5)","Miami, Florida (5)[note 2]","79,484","[17]",35,31
"14","XIV","20-Jan-80","PittsburghSteelers","31_19","LosAngelesRams","Rose Bowl (2)","Pasadena, California (4)[note 1]","103,985","[18]",31,19
"15","XV","25-Jan-81","OaklandRaiders","27_10","PhiladelphiaEagles","Louisiana Superdome (2)","New Orleans, Louisiana (5)","76,135","[19]",27,10
"16","XVI","24-Jan-82","SanFranciscoers","26_21","CincinnatiBengals","Pontiac Silverdome","Pontiac, Michigan[note 1]","81,270","[20]",26,21
"17","XVII","30-Jan-83","WashingtonRedskins","27_17","MiamiDolphins","Rose Bowl (3)","Pasadena, California (5)[note 1]","103,667","[21]",27,17
"18","XVIII","22-Jan-84","LosAngelesRaiders","38_9","WashingtonRedskins","Tampa Stadium","Tampa, Florida","72,920","[22]",38,9
"19","XIX","20-Jan-85","SanFranciscoers","38_16","MiamiDolphins","Stanford Stadium","Stanford, California[note 1]","84,059","[23]",38,16
"20","XX","26-Jan-86","ChicagoBears","46_10","NewEnglandPatriots","Louisiana Superdome (3)","New Orleans, Louisiana (6)","73,818","[24]",46,10
