Game,Date,Winning team,Score,Losing team,Venue,City,Attendance,Ref
I,15-Jan-67,Green Bay Packers_,35_10,Kansas City Chiefs^,Los Angeles Memorial Coliseum,"Los Angeles, California[note 1]","61,946",[5]
II,14-Jan-68,Green Bay Packers_ (2),33_14,Oakland Raiders^,Orange Bowl,"Miami, Florida[note 2]","75,546",[6]
III,12-Jan-69,New York Jets^,16_7ÿ,Baltimore Colts_,Orange Bowl (2),"Miami, Florida (2)[note 2]","75,389",[7]
IV,11-Jan-70,Kansas City Chiefs^ (2),23_7ÿ,Minnesota Vikings_,Tulane Stadium,"New Orleans, Louisiana","80,562",[8]
V,17-Jan-71,Baltimore Colts_ (2),16_13ÿ,Dallas Cowboys*,Orange Bowl (3),"Miami, Florida (3)[note 2]","79,204",[9]
VI,16-Jan-72,Dallas Cowboys* (2),24_3ÿ,Miami Dolphins_,Tulane Stadium (2),"New Orleans, Louisiana (2)","81,023",[10]
VII,14-Jan-73,Miami Dolphins_ (2),14_7ÿ,Washington Redskins*,Los Angeles Memorial Coliseum (2),"Los Angeles, California (2)[note 1]","90,182",[11]
VIII,13-Jan-74,Miami Dolphins_ (3),24_7ÿ,Minnesota Vikings* (2),Rice Stadium,"Houston, Texas","71,882",[12]
IX,12-Jan-75,Pittsburgh Steelers_,16_6ÿ,Minnesota Vikings* (3),Tulane Stadium (3),"New Orleans, Louisiana (3)","80,997",[13]
X,18-Jan-76,Pittsburgh Steelers_ (2),21_17,Dallas Cowboys* (3)[note 3],Orange Bowl (4),"Miami, Florida (4)[note 2]","80,187",[14]
XI,9-Jan-77,Oakland Raiders_ (2),32_14,Minnesota Vikings* (4),Rose Bowl,"Pasadena, California (3)[note 1]","103,438",[15]
XII,15-Jan-78,Dallas Cowboys* (4),27_10,Denver Broncos_,Louisiana Superdome,"New Orleans, Louisiana (4)","76,400",[16]
XIII,21-Jan-79,Pittsburgh Steelers_ (3),35_31,Dallas Cowboys* (5),Orange Bowl (5),"Miami, Florida (5)[note 2]","79,484",[17]
XIV,20-Jan-80,Pittsburgh Steelers_ (4),31_19,Los Angeles Rams*,Rose Bowl (2),"Pasadena, California (4)[note 1]","103,985",[18]
XV,25-Jan-81,Oakland Raiders_ (3)[note 3],27_10,Philadelphia Eagles*,Louisiana Superdome (2),"New Orleans, Louisiana (5)","76,135",[19]
XVI,24-Jan-82,San Francisco 49ers*,26_21,Cincinnati Bengals_,Pontiac Silverdome,"Pontiac, Michigan[note 1]","81,270",[20]
XVII,30-Jan-83,Washington Redskins* (2),27_17,Miami Dolphins_ (4),Rose Bowl (3),"Pasadena, California (5)[note 1]","103,667",[21]
XVIII,22-Jan-84,Los Angeles Raiders_ (4),38_9ÿ,Washington Redskins* (3),Tampa Stadium,"Tampa, Florida","72,920",[22]
XIX,20-Jan-85,San Francisco 49ers* (2),38_16,Miami Dolphins_ (5),Stanford Stadium,"Stanford, California[note 1]","84,059",[23]
XX,26-Jan-86,Chicago Bears*,46_10,New England Patriots_[note 3],Louisiana Superdome (3),"New Orleans, Louisiana (6)","73,818",[24]
XXI,25-Jan-87,New York Giants*,39_20,Denver Broncos_ (2),Rose Bowl (4),"Pasadena, California (6)[note 1]","101,063",[25]
XXII,31-Jan-88,Washington Redskins* (4),42_10,Denver Broncos_ (3),Jack Murphy Stadium[note 4],"San Diego, California","73,302",[26]
XXIII,22-Jan-89,San Francisco 49ers* (3),20_16,Cincinnati Bengals_ (2),Joe Robbie Stadium[note 4],"Miami, Florida (6)[note 2]","75,129",[27]
XXIV,28-Jan-90,San Francisco 49ers* (4),55_10,Denver Broncos_ (4),Louisiana Superdome (4),"New Orleans, Louisiana (7)","72,919",[28]
XXV,27-Jan-91,New York Giants* (2),20_19,Buffalo Bills_,Tampa Stadium (2),"Tampa, Florida (2)","73,813",[29]
XXVI,26-Jan-92,Washington Redskins* (5),37_24,Buffalo Bills_ (2),Metrodome,"Minneapolis, Minnesota","63,130",[30]
XXVII,31-Jan-93,Dallas Cowboys* (6),52_17,Buffalo Bills_ (3)[note 3],Rose Bowl (5),"Pasadena, California (7)[note 1]","98,374",[31]
XXVIII,30-Jan-94,Dallas Cowboys* (7),30_13,Buffalo Bills_ (4),Georgia Dome,"Atlanta, Georgia","72,817",[32]
XXIX,29-Jan-95,San Francisco 49ers* (5),49_26,San Diego Chargers_,Joe Robbie Stadium (2)[note 4],"Miami, Florida (7)[note 2]","74,107",[33]
XXX,28-Jan-96,Dallas Cowboys* (8),27_17,Pittsburgh Steelers_ (5),Sun Devil Stadium,"Tempe, Arizona[note 1]","76,347",[34]
XXXI,26-Jan-97,Green Bay Packers* (3),35_21,New England Patriots_ (2),Louisiana Superdome (5),"New Orleans, Louisiana (8)","72,301",[35]
XXXII,25-Jan-98,Denver Broncos_ (5)[note 3],31_24,Green Bay Packers* (4),Qualcomm Stadium (2)[note 4],"San Diego, California (2)","68,912",[36]
XXXIII,31-Jan-99,Denver Broncos_ (6),34_19,Atlanta Falcons*,Pro Player Stadium (3)[note 4],"Miami, Florida (8)[note 2]","74,803",[37]
XXXIV,30-Jan-00,St. Louis Rams* (2),23_16,Tennessee Titans_[note 3],Georgia Dome (2),"Atlanta, Georgia (2)","72,625",[38]
XXXV,28-Jan-01,Baltimore Ravens_[note 3],34_7ÿ,New York Giants* (3),Raymond James Stadium,"Tampa, Florida (3)","71,921",[39]
XXXVI,3-Feb-02,New England Patriots_ (3),20_17,St. Louis Rams* (3),Louisiana Superdome (6),"New Orleans, Louisiana (9)","72,922",[40]
XXXVII,26-Jan-03,Tampa Bay Buccaneers*,48_21,Oakland Raiders_ (5),Qualcomm Stadium (3)[note 4],"San Diego, California (3)","67,603",[41]
XXXVIII,1-Feb-04,New England Patriots_ (4),32_29,Carolina Panthers*,Reliant Stadium,"Houston, Texas (2)","71,525",[42]
XXXIX,6-Feb-05,New England Patriots_ (5),24_21,Philadelphia Eagles* (2),ALLTEL Stadium,"Jacksonville, Florida","78,125",[43]
XL,5-Feb-06,Pittsburgh Steelers_ (6)[note 3],21_10,Seattle Seahawks*,Ford Field,"Detroit, Michigan (2)[note 1]","68,206",[44]
XLI,4-Feb-07,Indianapolis Colts_ (3),29_17,Chicago Bears* (2),Dolphin Stadium (4)[note 4],"Miami Gardens, Florida (9)[note 2]","74,512",[45]
